2Ki 1:1	ΚΑΙ ἠθέτησεν Μωὰβ ἐν Ἰσραὴλ μετὰ τὸ ἀποθανεῖν Ἀχαάβ.
2Ki 14:11	καὶ οὐκ ἤκουσεν Ἀμεσσείας· καὶ ἀνέβη ὁ βασιλεὺς Ἰσραήλ, καὶ ὤφθη προσώποις αὐτὸς καὶ Ἀμεσσείας βασιλεὺς Ἰούδα, ἐν Βαιθσάμυς γῇ τοῦ Ἰούδα·
2Ki 14:12	καὶ ἔπταισεν Ἰούδας ἀπὸ προσώπου Ἰσραήλ, καὶ ἔφυγεν ἀνὴρ εἰς τὸ σκήνωμα αὐτοῦ.
2Ki 14:13	καὶ τὸν Ἀμεσσείαν υἱὸν Ἰωὰς υἱοῦ Ἰωαχὰς συνέλαβεν Ἰωὰς βασιλεὺς Ἰσραὴλ ἐν Βαιθσάμυς· καὶ ἦλθεν εἰς Ἰερουσαλήμ, καὶ καθεῖλεν ἐν τῷ τείχει Ἰερουσαλὴμ ἐν τῇ πύλῃ Ἐφράιμ ἕως πύλης τῆς γωνίας τετρακοσίους πήχεις.
2Ki 14:14	καὶ ἔλαβεν τὸ χρυσίον καὶ τὸ ἀργύριον καὶ πάντα τὰ σκεύη τὰ εὑρεθέντα ἐν οἴκῳ Κυρίου καὶ ἐν θησαυροῖς οἴκου τοῦ βασιλέως καὶ τοὺς υἱοὺς τῶν συμμίξεων, καὶ ἀπέστρεψεν εἰς Σαμάρειαν.
2Ki 14:15	καὶ τὰ λοιπὰ τῶν λόγων Ἰωὰς ὅσα ἐποίησεν ἐν δυναστείᾳ αὐτοῦ, ἃ ἐπολέμησεν μετὰ Ἀμεσσείου βασιλέως Ἰούδα, οὐχὶ ταῦτα γεγραμμένα ἐπὶ βιβλίῳ λόγων τῶν ἡμερῶν τοῖς βασιλεῦσιν Ἰσραήλ;
2Ki 14:16	καὶ ἐκοιμήθη Ἰωὰς μετὰ τῶν πατέρων αὐτοῦ, καὶ ἐτάφη ἐν Σαμαρείᾳ μετὰ τῶν βασιλέων Ἰσραήλ· καὶ ἐβασίλευσεν Ἰεροβοὰμ υἱὸς αὐτοῦ ἀντ᾽ αὐτοῦ.
2Ki 14:17	Καὶ ἔζησεν Ἀμεσσείας υἱὸς Ἰωὰς βασιλεὺς Ἰούδα μετὰ τὸ ἀποθανεῖν Ἰωὰς υἱὸν Ἰωαχὰς βασιλέα Ἰσραὴλ πέντε καὶ δέκα ἔτη.
2Ki 14:18	καὶ τὰ λοιπὰ τῶν λόγων Ἀμεσσείου καὶ πάντα ἃ ἐποίησεν, οὐχὶ ταῦτα γεγραμμένα ἐπὶ βιβλίῳ λόγων τῶν ἡμερῶν τοῖς βασιλεῦσιν Ἰούδα;
2Ki 14:19	καὶ συνεστράφησαν ἐπ᾽ αὐτὸν σύστρεμμα ἐν Ἰερουσαλήμ, καὶ ἔφυγεν εἰς Λαχείς· καὶ ἀπέστειλεν ὀπίσω αὐτοῦ εἰς Λαχείς, καὶ ἐθανάτωσεν αὐτὸν ἐκεῖ.
2Ki 14:20	καὶ ἦραν αὐτὸν ἐφ᾽ ἵππων, καὶ ἐτάφη ἐν Ἰερουσαλὴμ μετὰ τῶν πατέρων αὐτοῦ ἐν πόλει Δαυείδ.
2Ki 14:21	καὶ ἔλαβεν πᾶς ὁ λαὸς Ἰούδα τὸν Ἀζαρίαν, καὶ αὐτὸς υἱὸς ἑκκαίδεκα ἐτῶν, καὶ ἐβασίλευσεν αὐτὸς ἀντὶ τοῦ πατρὸς αὐτοῦ Ἀμεσσείου.
2Ki 14:22	αὐτὸς ᾠκοδόμησεν τὴν Αἰλώμ, καὶ ἐπέστρεψεν αὐτὴν τῷ Ἰούδᾳ μετὰ τὸ κοιμηθῆναι τὸν βασιλέα μετὰ τῶν πατέρων αὐτοῦ.
2Ki 14:23	Ἐν ἔτει πεντεκαιδεκάτῳ τοῦ Ἀμεσσείου υἱῷ Ἰωὰς βασιλεῖ Ἰούδα ἐβασίλευσεν Ἰεροβοὰμ υἱὸς Ἰωὰς ἐπὶ Ἰσραὴλ ἐν Σαμαρείᾳ τεσσεράκοντα καὶ ἓν ἔτος.
2Ki 14:24	καὶ ἐποίησεν τὸ πονηρὸν ἐνώπιον Κυρίου· οὐκ ἀπέστη ἀπὸ πασῶν ἁμαρτιῶν Ἰεροβοὰμ υἱοῦ Ναβὰτ ὃς ἐξήμαρτεν τὸν Ἰσραήλ.
2Ki 14:25	αὐτὸς ἀπέστησεν τὸ ὅριον Ἰσραὴλ ἀπὸ εἰσόδου Αἱμὰθ ἕως τῆς θαλάσσης τῆς Ἀραβά, κατὰ τὸ ῥῆμα Κυρίου θεοῦ Ἰσραὴλ ὃ ἐλάλησεν ἐν χειρὶ δούλου αὐτοῦ Ἰωνᾶ υἱοῦ Ἀμαθεὶ τοῦ προφήτου τοῦ ἐκ Γεθχόβερ.
2Ki 14:26	ὅτι εἶδεν Κύριος τὴν ταπείνωσιν Ἰσραὴλ πικρὰν σφόδρα καὶ ὀλίγους τοὺς συνεχομένους καὶ ἐσπανισμένους καὶ ἐγκαταλελειμμένους, καὶ οὐκ ἦν ὁ βοηθῶν τῷ Ἰσραήλ.
2Ki 14:27	καὶ οὐκ ἐλάλησεν Κύριος ἐξαλεῖψαι τὸ σπέρμα Ἰσραὴλ ὑποκάτωθεν τοῦ οὐρανοῦ, καὶ ἔσωσεν αὐτοὺς ἐκ χειρὸς Ἰεροβοὰμ υἱοῦ Ἰωάς.
2Ki 14:28	καὶ τὰ λοιπὰ τῶν λόγων Ἰεροβοὰμ καὶ πάντα ὅσα ἐποίησεν καὶ αἱ δυναστεῖαι αὐτοῦ, ὅσα ἐπολέμησεν καὶ ὅσα ἐπέστρεψεν τὴν Δαμασκὸν καὶ τὴν Ἑμμὰθ τῷ Ἰούδᾳ ἐν Ἰσραήλ, οὐχὶ ταῦτα γεγραμμένα ἐπὶ βιβλίῳ λόγων τῶν ἡμερῶν τοῖς βασιλεῦσιν Ἰσραήλ;
2Ki 14:29	καὶ ἐκοιμήθη Ἰεροβοὰμ μετὰ τῶν πατέρων αὐτοῦ μετὰ βασιλέων Ἰσραήλ, καὶ ἐβασίλευσεν Ἀζαρίας υἱὸς Ἀμεσσείου ἀντὶ τοῦ πατρὸς αὐτοῦ.
2Ki 15:1	Ἐν ἔτει εἰκοστῷ καὶ ἑβδόμῳ τῷ Ἰεροβοὰμ βασιλεῖ Ἰσραὴλ ἐβασίλευσεν Ἀζαρίας υἱὸς Ἀμεσσείου βασιλέως Ἰούδα.
2Ki 15:2	υἱὸς ἑκκαίδεκα ἐτῶν ἦν ἐν τῷ βασιλεύειν αὐτόν, καὶ πεντήκοντα καὶ δύο ἔτη ἐβασίλευσεν ἐν Ἰερουσαλήμ, καὶ ὄνομα τῇ μητρὶ αὐτοῦ Χαλειὰ ἐξ Ἰερουσαλήμ.
2Ki 15:3	καὶ ἐποίησεν τὸ εὐθὲς ἐν ὀφθαλμοῖς Κυρίου κατὰ πάντα ὅσα ἐποίησεν Ἀμεσσείας ὁ πατὴρ αὐτοῦ.
2Ki 15:4	πλὴν τῶν ὑψηλῶν οὐκ ἐξῆρεν· ἔτι ὁ λαὸς ἐθυσίαζεν καὶ ἐθυμίων ἐν τοῖς ὑψηλοῖς.
2Ki 15:5	καὶ ἥψατο Κύριος τὸν βασιλέα, καὶ ἦν λελεπρωμένος ἕως ἡμέρας θανάτου αὐτοῦ, καὶ ἐβασίλευσεν ἐν οἴκῳ ἁφφουσώθ· καὶ Ἰωναθὰν υἱὸς τοῦ βασιλέως ἐπὶ τῷ οἴκῳ, κρίνων τὸν λαὸν τῆς γῆς.
2Ki 15:6	καὶ τὰ λοιπὰ τῶν λόγων Ἀζαρίου καὶ πάντα ὅσα ἐποίησεν, οὐκ ἰδοὺ ταῦτα γεγραμμένα ἐπὶ βιβλίου λόγων τῶν ἡμερῶν τοῖς βασιλεῦσιν Ἰούδα;
2Ki 15:7	καὶ ἐκοιμήθη Ἀζαρίας μετὰ τῶν πατέρων αὐτοῦ, καὶ ἔθαψαν αὐτὸν μετὰ τῶν πατέρων αὐτοῦ ἐν πόλει Δαυείδ· καὶ ἐβασίλευσεν Ἰωναθὰν υἱὸς αὐτοῦ ἀντ᾽ αὐτοῦ.
2Ki 15:8	Ἐν ἔτει τριακοστῷ καὶ ὀγδόῳ τῷ Ἀζαρίᾳ βασιλεῖ Ἰούδα ἐβασίλευσεν Ζαχαρίας υἱὸς Ἰεροβοὰμ ἐπὶ Ἰσραὴλ ἐν Σαμαρείᾳ ἑξάμηνον.
2Ki 15:9	καὶ ἐποίησεν τὸ πονηρὸν ἐν ὀφθαλμοῖς Κυρίου καθὰ ἐποίησαν οἱ πατέρες αὐτοῦ· οὐκ ἀπέστη ἀπὸ ἁμαρτιῶν Ἰεροβοὰμ υἱοῦ Ναβὰτ ὃς ἐξήμαρτεν τὸν Ἰσραήλ.
2Ki 15:10	καὶ συνεστράφησαν ἐπ᾽ αὐτὸν Σελλοὺμ υἱὸς Ἰαβείς, καὶ ἐπάταξαν αὐτὸν Κεβλαὰμ καὶ ἐθανάτωσαν αὐτόν· καὶ ἐβασίλευσεν ἀντ᾽ αὐτοῦ.
2Ki 15:11	καὶ τὰ λοιπὰ τῶν λόγων Ζαχαρίου ἰδού εἰσιν γεγραμμένα ἐπὶ βιβλίῳ λόγων τῶν ἡμερῶν τοῖς βασιλεῦσιν Ἰσραήλ.
2Ki 15:12	ὁ λόγος Κυρίου ὃν ἐλάλησεν πρὸς Εἰοὺ λέγων Υἱοὶ τέταρτοι καθήσονταί σοι ἐπὶ θρόνου Ἰσραήλ· καὶ ἐγένετο οὕτως.
2Ki 15:13	Καὶ Σελλοὺμ υἱὸς Ἰαβεὶς ἐβασίλευσεν· καὶ ἐν ἔτει τριακοστῷ καὶ ἐνάτῳ Ἀζαρίᾳ βασιλεῖ Ἰούδα ἐβασίλευσεν Σελλοὺμ ἡμέρας ἐν Σαμαρείᾳ.
2Ki 15:14	καὶ ἀνέβη Μαναὴμ υἱὸς Γαδδεὶ ἐκ Θαρσειλὰ καὶ ἦλθεν εἰς Σαμάρειαν, καὶ ἐπάταξεν τὸν Σελλοὺμ υἱὸν Ἰαβεὶς ἐν Σαμαρείᾳ καὶ ἐθανάτωσεν αὐτόν.
2Ki 15:15	καὶ τὰ λοιπὰ τῶν λόγων Σελλοὺμ καὶ ἡ συστροφὴ αὐτοῦ ᾗ συνεστράφη, ἰδού εἰσιν γεγραμμένα ἐπὶ βιβλίῳ λόγων τῶν ἡμερῶν τοῖς βασιλεῦσιν Ἰσραήλ.
2Ki 15:16	τότε ἐπάταξεν Μαναὴμ καὶ τὴν Θερσὰ καὶ πάντα τὰ ἐν αὐτῇ καὶ τὰ ὅρια αὐτῆς ἀπὸ Θερσά, ὅτι οὐκ ἤνοιξαν αὐτῷ· καὶ ἐπάταξεν αὐτήν, καὶ τὰς ἐν γαστρὶ ἐχούσας ἀνέρρηξεν.
2Ki 15:17	Ἐν ἔτει τριακοστῷ καὶ ἐνάτῳ Ἀζαρίᾳ βασιλεῖ Ἰούδα ἐβασίλευσεν Μαναὴμ υἱὸς Γαδδεὶ ἐπὶ Ἰσραὴλ δέκα ἔτη ἐν Σαμαρείᾳ.
2Ki 15:18	καὶ ἐποίησεν τὸ πονηρὸν ἐν ὀφθαλμοῖς Κυρίου· οὐκ ἀπέστη ἀπὸ πασῶν ἁμαρτιῶν Ἰεροβοὰμ υἱοῦ Ναβὰτ ὃς ἐξήμαρτεν τὸν Ἰσραήλ.
2Ki 15:19	ἐν ταῖς ἡμέραις αὐτοῦ ἀνέβη Φουὰ βασιλεὺς Ἀσσυρίων ἐπὶ τὴν γῆν, καὶ Μαναὴμ ἔδωκεν τῷ Φουὰ χίλια τάλαντα ἀργυρίου, εἶναι τὴν χεῖρα αὐτοῦ μετ᾽ αὐτοῦ.
2Ki 15:20	καὶ ἐξήνεγκεν Μαναὴμ τὸ ἀργύριον ἐπὶ τὸν Ἰσραήλ, ἐπὶ πᾶν δυνατὸν ἰσχύι, δοῦναι τῷ βασιλεῖ τῶν Ἀσσυρίων, πεντήκοντα σίκλους τῷ ἀνδρὶ τῷ ἑνί· καὶ ἀπέστρεψεν βασιλεὺς Ἀσσυρίων, καὶ οὐκ ἔστη ἐκεῖ ἐν τῇ γῇ.
2Ki 15:21	καὶ τὰ λοιπὰ τῶν λόγων Μαναὴμ καὶ πάντα ὅσα ἐποίησεν, οὐκ ἰδοὺ ταῦτα γεγραμμένα ἐπὶ βιβλίῳ λόγων τῶν ἡμερῶν τοῖς βασιλεῦσιν Ἰσραήλ;
2Ki 15:22	καὶ ἐκοιμήθη Μαναὴμ μετὰ τῶν πατέρων αὐτοῦ, καὶ ἐβασίλευσεν Φακεσίας υἱὸς αὐτοῦ ἀντ᾽ αὐτοῦ.
2Ki 15:23	Ἐν ἔτει πεντηκοστῷ τοῦ Ἀζαρίου βασιλεῖ Ἰούδα ἐβασίλευσεν Φακεσίας υἱὸς Μαναὴμ ἐπὶ Ἰσραὴλ ἐν Σαμαρείᾳ δύο ἔτη.
2Ki 15:24	καὶ ἐποίησεν τὸ πονηρὸν ἐν ὀφθαλμοῖς Κυρίου, οὐκ ἀπέστη ἀπὸ ἁμαρτιῶν Ἰεροβοὰμ υἱοῦ Ναβὰτ ὃς ἐξήμαρτεν τὸν Ἰσραήλ.
2Ki 15:25	καὶ συνεστράφη ἐπ᾽ αὐτὸν Φάκεε υἱὸς Ῥομελίου ὁ τριστάτης αὐτοῦ, καὶ ἐπάταξεν αὐτὸν ἐν Σαμαρείᾳ ἐναντίον οἴκου τοῦ βασιλέως μετὰ τοῦ Ἀργὸβ καὶ μετ᾽ αὐτοῦ Ἀρειά· καὶ μετ᾽ αὐτοῦ πεντήκοντα ἄνδρες ἀπὸ τῶν τετρακοσίων· καὶ ἐθανάτωσεν αὐτόν, καὶ ἐβασίλευσεν ἀντ᾽ αὐτοῦ.
2Ki 15:26	καὶ τὰ λοιπὰ τῶν λόγων Φακεσίου καὶ πάντα ὅσα ἐποίησεν ἰδού εἰσιν γεγραμμένα ἐπὶ βιβλίῳ λόγων τῶν ἡμερῶν τοῖς βασιλεῦσιν Ἰσραήλ.
2Ki 15:27	Ἐν ἔτει πεντηκοστῷ καὶ δευτέρῳ τοῦ Ἀζαρίου βασιλεῖ Ἰούδα ἐβασίλευσεν Φάκεε υἱὸς Ῥομελίου ἐπὶ Ἰσραὴλ ἐν Σαμαρείᾳ εἴκοσι ἔτη.
2Ki 15:28	καὶ ἐποίησεν τὸ πονηρὸν ἐν ὀφθαλμοῖς Κυρίου· οὐκ ἀπέστη ἀπὸ πασῶν ἁμαρτιῶν Ἰεροβοὰμ υἱοῦ Ναβὰτ ὃς ἐξήμαρτεν τὸν Ἰσραήλ.
2Ki 15:29	ἐν ταῖς ἡμέραις Φάκεε βασιλέως Ἰσραὴλ ἦλθεν Ἀλγαθφελλασὰρ βασιλεὺς Ἀσσυρίων καὶ ἔλαβεν τὴν Ἀὶν καὶ τὴν Ἀβὲλ καὶ τὴν Θαμααχὰ καὶ τὴν Ἀνίωχ καὶ τὴν Κένεζ καὶ τὴν Ἁσὼρ καὶ τὴν Γαλαὰδ καὶ τὴν Γαλειλαίαν, πᾶσαν γῆν Νεφθαλεί, καὶ ἀπῴκισεν αὐτοὺς εἰς Ἀσσυρίους.
2Ki 15:30	καὶ συνέστρεψεν στρέμμα Ὡσῆε υἱὸς Ἠλὰ ἐπὶ Φάκεε υἱὸν Ῥομελίου, καὶ ἐπάταξεν αὐτὸν καὶ ἐθανάτωσεν, καὶ ἐβασίλευσεν ἀντ᾽ αὐτοῦ ἐν ἔτει εἰκοστῷ Ἰωαθὰμ υἱῷ Ἀχάς.
2Ki 15:31	καὶ τὰ λοιπὰ τῶν λόγων Φάκεε καὶ πάντα ὅσα ἐποίησεν, ἰδού ἐστιν γεγραμμένα ἐπὶ βιβλίῳ λόγων τῶν ἡμερῶν τοῖς βασιλεῦσιν Ἰσραήλ.
2Ki 15:32	Ἐν ἔτει δευτέρῳ Φάκεε υἱοῦ Ῥομελίου βασιλεῖ Ἰσραὴλ ἐβασίλευσεν Ἰωναθὰν υἱὸς Ἀζαρίου βασιλέως Ἰούδα.
2Ki 15:33	υἱὸς εἴκοσι καὶ πέντε ἦν ἐτῶν ἐν τῷ βασιλεύειν αὐτόν, καὶ ἑκκαίδεκα ἔτη ἐβασίλευσεν ἐν Ἰερουσαλήμ, καὶ ὄνομα τῆς μητρὸς αὐτοῦ Ἐροὺς θυγάτηρ Σαδώκ.
2Ki 15:34	καὶ ἐποίησεν τὸ εὐθὲς ἐν ὀφθαλμοῖς Κυρίου κατὰ πάντα ὅσα ἐποίησεν Ὀζείας ὁ πατὴρ αὐτοῦ.
2Ki 15:35	πλὴν τὰ ὑψηλὰ οὐκ ἐξῆρεν· ἔτι ὁ λαὸς ἐθυσίαζεν καὶ ἐθυμία ἐν τοῖς ὑψηλοῖς. αὐτὸς ᾠκοδόμησεν τὴν πύλην οἴκου Κυρίου τὴν ἐπάνω.
2Ki 15:36	καὶ τὰ λοιπὰ τῶν λόγων Ἰωαθὰμ καὶ πάντα ὅσα ἐποίησεν, οὐχὶ ταῦτα γεγραμμένα ἐπὶ βιβλίῳ λόγων τῶν ἡμερῶν τοῖς βασιλεῦσιν Ἰούδα;
2Ki 15:37	ἐν ταῖς ἡμέραις ἐκείναις ἤρξατο Κύριος ἐξαποστέλλειν τὸν Ῥαασσὼν βασιλέα Συρίας καὶ τὸν Φάκεε υἱὸν Ῥομελίου.
2Ki 15:38	καὶ ἐκοιμήθη Ἰωαθὰμ μετὰ τῶν πατέρων αὐτοῦ, καὶ ἐτάφη μετὰ τῶν πατέρων αὐτοῦ ἐν πόλει Δαυεὶδ τοῦ πατρὸς αὐτοῦ· καὶ ἐβασίλευσεν Ἀχὰζ υἱὸς αὐτοῦ ἀντ᾽ αὐτοῦ.
2Ki 16:1	Ἐν ἔτει ἑπτακαιδεκάτῳ Φάκεε υἱοῦ Ῥομελίου ἐβασίλευσεν Ἀχὰζ υἱὸς Ἰωαθὰμ βασιλέως Ἰούδα.
2Ki 16:2	υἱὸς εἴκοσι ἐτῶν ἦν Ἀχὰς ἐν τῷ βασιλεύειν αὐτόν, καὶ ἑκκαίδεκα ἔτη ἐβασίλευσεν ἐν Ἰερουσαλήμ· καὶ οὐκ ἐποίησεν τὸ εὐθὲς ἐν ὀφθαλμοῖς Κυρίου θεοῦ πιστῶς ὡς Δαυεὶδ ὁ πατὴρ αὐτοῦ.
2Ki 16:3	καὶ ἐπορεύθη ἐν ὁδῷ βασιλέως Ἰσραήλ, καί γε τὸν υἱὸν αὐτοῦ διῆγεν πυρὶ καὶ τὰ βδελύγματα τῶν ἐθνῶν ὧν ἐξῆρεν Κύριος ἀπὸ προσώπου τῶν υἱῶν Ἰσραήλ.
2Ki 16:4	καὶ ἐθυσίαζεν καὶ ἐθυμία ἐν τοῖς ὑψηλοῖς καὶ ἐπὶ τῶν βουνῶν καὶ ὑποκάτω παντὸς ξύλου ἀλσώδους.
2Ki 16:5	Τότε ἀνέβη Ῥαασσὼν βασιλεὺς Συρίας καὶ Φάκεε υἱὸς Ῥομελίου βασιλεὺς Ἰσραὴλ εἰς Ἰερουσαλὴμ εἰς πόλεμον καὶ ἐπολιόρκουν ἐπὶ Ἀχάζ, καὶ οὐκ ἐδύναντο πολεμεῖν.
2Ki 16:6	ἐν τῷ καιρῷ ἐκείνῳ ἐπέστρεψεν Ῥαασσὼν βασιλεὺς Συρίας τὴν Αἰλὰθ τῇ Συρίᾳ, καὶ ἐξέβαλεν τοὺς Ἰουδαίους ἐξ Αἰλάθ, καὶ Ἰδουμαῖοι ἦλθον εἰς Αἰλὰθ καὶ κατῴκησαν ἐκεῖ ἕως τῆς ἡμέρας ταύτης.
2Ki 16:7	καὶ ἀπέστειλεν Ἀχὰζ ἀγγέλους πρὸς Θαλγαθφελλασὰρ βασιλέα Ἀσσυρίων λέγων Δοῦλός σου καὶ υἱός σου ἐγώ. ἀνάβηθι, σῶσόν με ἐκ χειρὸς βασιλέως Συρίας καὶ ἐκ χειρὸς βασιλέως Ἰσραὴλ τῶν ἐπανισταμένων ἐπ᾽ ἐμέ.
2Ki 16:8	καὶ ἔλαβεν Ἀχὰζ ἀργύριον καὶ χρυσίον τὸ εὑρεθὲν ἐν θησαυροῖς οἴκου Κυρίου καὶ οἴκου τοῦ βασιλέως καὶ ἀπέστειλεν τῷ βασιλεῖ δῶρα.
2Ki 16:9	καὶ ἤκουσεν αὐτοῦ βασιλεὺς Ἀσσυρίων· καὶ ἀνέβη βασιλεὺς Ἀσσυρίων εἰς Δαμασκόν, καὶ συνέλαβεν αὐτὴν καὶ ἀπῴκισεν αὐτήν, καὶ τὸν Ῥαασσὼν ἐθανάτωσεν.
2Ki 16:10	Καὶ ἐπορεύθη βασιλεὺς Ἀχὰζ εἰς ἀπαντὴν αὐτοῦ τῷ Θαλγαλφελλασὰρ βασιλεῖ Ἀσσυρίων εἰς Δαμασκόν· καὶ εἶδεν τὸ θυσιαστήριον ἐν Δαμασκῷ· καὶ ἀπέστειλεν ὁ βασιλεὺς Ἀχὰζ πρὸς Οὐρείαν τὸν ἱερέα τὸ ὁμοίωμα τοῦ θυσιαστηρίου καὶ τὸν ῥυθμὸν αὐτοῦ εἰς πᾶσαν ποίησιν αὐτοῦ.
2Ki 16:11	καὶ ᾠκοδόμησεν Οὐρείας ὁ ἱερεὺς τὸ θυσιαστήριον κατὰ πάντα ὅσα ἀπέστειλεν ὁ βασιλεὺς Ἀχὰζ ἐκ Δαμασκοῦ.
2Ki 16:12	καὶ εἶδεν ὁ βασιλεὺς τὸ θυσιαστήριον, καὶ ἀνέβη ἐπ᾽ αὐτό,
2Ki 16:13	καὶ ἐθυμίασεν τὴν ὁλοκαύτωσιν αὐτοῦ καὶ τὴν θυσίαν αὐτοῦ καὶ τὴν σπονδὴν αὐτοῦ, καὶ προσέχεεν τὸ αἷμα τῶν εἰρηνικῶν τῶν αὐτοῦ ἐπὶ τὸ θυσιαστήριον
2Ki 16:14	τὸ χαλκοῦν τὸ ἀπέναντι Κυρίου καὶ προσήγαγεν τὸ πρόσωπον τοῦ οἴκου Κυρίου, ἀπὸ τοῦ ἀνὰ μέσον τοῦ θυσιαστηρίου καὶ ἀπὸ τοῦ ἀνὰ μέσον τοῦ οἴκου Κυρίου, καὶ ἔδειξεν αὐτὸ ἐπὶ μηρὸν τοῦ θυσιαστηρίου κατὰ βορρᾶν.
2Ki 16:15	καὶ ἐνετείλατο ὁ βασιλεὺς Ἀχὰζ τῷ Οὐρείᾳ τῷ ἱερεῖ λέγων Ἐπὶ τὸ θυσιαστήριον τὸ μέγα πρόσφερε τὴν ὁλοκαύτωσιν τὴν πρωινὴν καὶ τὴν θυσίαν τὴν ἑσπερινήν, καὶ τὴν ὁλοκαύτωσιν τοῦ βασιλέως καὶ τὴν θυσίαν αὐτοῦ, καὶ τὴν ὁλοκαύτωσιν παντὸς τοῦ λαοῦ καὶ τὴν θυσίαν αὐτῶν καὶ τὴν σπονδὴν αὐτῶν, καὶ πᾶν αἷμα ὁλοκαυτώσεως καὶ πᾶν αἷμα θυσίας ἐπ᾽ αὐτὸ προσχεεῖς· ἐπὶ τὸ θυσιαστήριον τὸ χαλκοῦν ἔσται μοι εἰς τὸ πρωί.
2Ki 16:16	καὶ ἐποίησεν Οὐρείας ὁ ἱερεὺς κατὰ πάντα ὅσα ἐνετείλατο αὐτῷ ὁ βασιλεὺς Ἀχάς.
2Ki 16:17	καὶ συνέκοψεν ὁ βασιλεὺς τὰ συνκλείσματα τῶν μεχωνὼθ καὶ μετῆρεν ἀπ᾽ αὐτῶν τὸν λουτῆρα, καὶ τὴν θάλασσαν καθεῖλεν ἀπὸ τῶν βοῶν τῶν χαλκῶν τῶν ὑποκάτω αὐτῆς καὶ ἔδωκεν αὐτὴν ἐπὶ βάσιν λιθίνην.
2Ki 16:18	καὶ τὸν θεμέλιον τῆς καθέδρας ᾠκοδόμησεν ἐν οἴκῳ Κυρίου, καὶ τὴν εἴσοδον τοῦ βασιλέως τὴν ἔξω ἐπέστρεψεν οἴκῳ Κυρίου ἀπὸ προσώπου βασιλέως Ἀσσυρίων.
2Ki 16:19	Καὶ τὰ λοιπὰ τῶν λόγων Ἀχὰζ ὅσα ἐποίησεν, οὐχὶ ταῦτα γεγραμμένα ἐπὶ βιβλίῳ λόγων τῶν ἡμερῶν τοῖς βασιλεῦσιν Ἰούδα.
2Ki 16:20	καὶ ἐκοιμήθη Ἀχὰζ μετὰ τῶν πατέρων αὐτοῦ, καὶ ἐτάφη ἐν πόλει Δαυείδ· καὶ ἐβασίλευσεν Ἑζεκίας υἱὸς αὐτοῦ ἀντ᾽ αὐτοῦ.
2Ki 17:1	Ἐν ἔτει δωδεκάτῳ τῷ Ἀχὰζ βασιλέως Ἰούδα ἐβασίλευσεν Ὡσῆε υἱὸς Ἠλὰ ἐν Σαμαρείᾳ ἐπὶ Ἰσραὴλ ἐννέα ἔτη.
2Ki 17:2	καὶ ἐποίησεν τὸ πονηρὸν ἐν ὀφθαλμοῖς Κυρίου, πλὴν οὐχ ὡς οἱ βασιλεῖς Ἰσραὴλ οἳ ἦσαν ἔμπροσθεν αὐτοῦ.
2Ki 17:3	ἐπ᾽ αὐτὸν ἀνέβη Σαμεννάσαρ βασιλεὺς Ἀσσυρίων· καὶ ἐγενήθη αὐτῷ Ὡσῆε δοῦλος καὶ ἐπέστρεψεν αὐτῷ μανάχ.
2Ki 17:4	καὶ εὗρεν βασιλεὺς Ἀσσυρίων ἐν τῷ Ὡσῆε ἀδικίαν, ὅτι ἀπέστειλεν ἀγγέλους πρὸς Σηγὼρ βασιλέα Αἰγύπτου, καὶ οὐκ ἤνεγκεν μαναὰ τῷ βασιλεῖ Ἀσσυρίων ἐν τῷ ἐνιαυτῷ ἐκείνῳ· καὶ ἐπολιόρκησεν αὐτὸν ὁ βασιλεὺς Ἀσσυρίων, καὶ ἔδησεν αὐτὸν ἐν οἴκῳ φυλακῆς.
2Ki 17:5	καὶ ἀνέβη ὁ βασιλεὺς Ἀσσυρίων ἐν πάσῃ τῇ γῇ, καὶ ἀνέβη εἰς Σαμάρειαν καὶ ἐπολιόρκησεν ἐπ᾽ αὐτὴν τρία ἔτη.
2Ki 17:6	ἐν ἔτει ἐνάτῳ Ὡσῆε συνέλαβεν βασιλεὺς Ἀσσυρίων τὴν Σαμάρειαν, καὶ ἀπῴκισεν τὸν Ἰσραὴλ εἰς Ἀσσυρίους, καὶ κατῴκισεν αὐτοὺς ἐν Ἁλάε καὶ ἐν Αβώρ, ποταμοῖς Γωζάρ, καὶ Ὀρὴ Μήδων.
2Ki 17:7	Καὶ ἐγένετο ὅτι ἥμαρτον οἱ υἱοὶ Ἰσραὴλ τῷ κυρίῳ θεῷ αὐτῶν τῷ ἀναγαγόντι αὐτοὺς ἐκ γῆς Αἰγύπτου ὑποκάτωθεν χειρὸς Φαραὼ βασιλέως Αἰγύπτου, καὶ ἐφοβήθησαν θεοὺς ἑτέρους,
2Ki 17:8	καὶ ἐπορεύθησαν τοῖς δικαιώμασιν τῶν ἐθνῶν ὧν ἐξῆρεν Κύριος ἐκ προσώπου υἱῶν Ἰσραήλ, καὶ οἱ βασιλεῖς Ἰσραὴλ ὅσοι ἐποίησαν,
