Gen 1:1	ΕΝ ΑΡΧΗ ἐποίησεν ὁ θεὸς τὸν οὐρανὸν καὶ τὴν γῆν.
Gen 27:38	εἶπεν δὲ Ἠσαὺ πρὸς Ἰσαὰκ τὸν πατέρα αὐτοῦ Μὴ εὐλογία μία σοί ἐστιν, πάτερ; εὐλόγησον δὴ κἀμέ, πάτερ.
Gen 27:39	ἀποκριθεὶς δὲ Ἰσαὰκ ὁ πατὴρ αὐτοῦ εἶπεν αὐτῷ Ἰδοὺ ἀπὸ τῆς πιότητος τῆς γῆς ἔσται ἡ κατοίκησίς σου, καὶ ἀπὸ τῆς δρόσου τοῦ οὐρανοῦ ἄνωθεν·
Gen 27:40	καὶ ἐπὶ τῇ μαχαίρῃ σου ζήσῃ, καὶ τῷ ἀδελφῷ σου δουλεύσεις. ἔσται δὲ ἡνίκα ἐὰν καθέλῃς καὶ ἐκλύσεις τὸν ζυγὸν αὐτοῦ ἀπὸ τοῦ τραχήλου σου.
Gen 27:41	Καὶ ἐνεκότει Ἠσαὺ τῷ Ἰακὼβ περὶ τῆς εὐλογίας ἧς εὐλόγησεν αὐτὸν ὁ πατὴρ αὐτοῦ· εἶπεν δὲ Ἠσαὺ ἐν τῇ διανοίᾳ αὐτοῦ Ἐγγισάτωσαν αἱ ἡμέραι τοῦ πένθους τοῦ πατρός μου, ἵνα ἀποκτείνω Ἰακὼβ τὸν ἀδελφόν μου.
Gen 27:42	ἀπηγγέλη δὲ Ῥεβέκκᾳ τὰ ῥήματα Ἠσαὺ τοῦ υἱοῦ αὐτῆς τοῦ πρεσβυτέρου· καὶ πέμψασα ἐκάλεσεν Ἰακὼβ τὸν υἱὸν αὐτῆς τὸν νεώτερον καὶ εἶπεν αὐτῷ Ἰδοὺ Ἠσαὺ ὁ ἀδελφός σου ἀπειλεῖ σοι τοῦ ἀποκτεῖναί σε.
Gen 27:43	νῦν, οὖν, τέκνον, ἄκουσόν μου τῆς φωνῆς, καὶ ἀναστὰς ἀπόδραθι εἰς τὴν Μεσοποταμίαν πρὸς Λαβὰν τὸν ἀδελφόν μου εἰς Χαρράν·
Gen 27:44	καὶ οἴκησον μετ᾽ αὐτοῦ ἡμέρας τινάς,
Gen 27:45	ἕως τοῦ ἀποστρέψαι τὸν θυμὸν καὶ τὴν ὀργὴν τοῦ ἀδελφοῦ σου ἀπὸ σοῦ, καὶ ἐπιλάθηται ἃ πεποίηκας αὐτῷ, καὶ ἀποστείλασα μεταπέμψομαί σε ἐκεῖθεν· μή ποτε ἀτεκνωθῶ ἀπὸ τῶν δύο ὑμῶν ἐν ἡμέρᾳ μιᾷ.
Gen 27:46	Εἶπεν δὲ Ῥεβέκκα πρὸς Ἰσαάκ Προσώχθικα τῇ ζωῇ μου διὰ τὰς θυγατέρας τῶν υἱῶν Χέτ· εἰ λήμψεται Ἰακὼβ γυναῖκα ἀπὸ τῶν θυγατέρων τῆς γῆς ταύτης, ἵνα τί μοι ζῇν;
Gen 28:1	προσκαλεσάμενος δὲ Ἰσαὰκ τὸν Ἰακὼβ εὐλόγησεν αὐτόν, καὶ ἐνετείλατο αὐτῷ λέγων Οὐ λήμψῃ γυναῖκα ἐκ τῶν θυγατέρων Χανάαν·
Gen 28:2	ἀναστὰς ἀπόδραθι εἰς τὴν Μεσοποταμίαν Συρίας εἰς τὸν οἶκον Βαθουὴλ τοῦ πατρὸς τῆς μητρός σου, καὶ λάβε σεαυτῷ ἐκεῖθεν γυναῖκα ἐκ τῶν θυγατέρων Λαβὰν τοῦ ἀδελφοῦ τῆς μητρός σου.
Gen 28:3	ὁ δὲ θεός μου εὐλογήσαι σε καὶ αὐξήσαι σε καὶ πληθύναι σε, καὶ ἔσῃ εἰς συναγωγὰς ἐθνῶν·
Gen 28:4	καὶ δῴη σοι τὴν εὐλογίαν Ἀβραὰμ τοῦ πατρός σου, σοὶ καὶ τῷ σπέρματί σου μετὰ σέ, κληρονομῆσαι τὴν γῆν τῆς παροικήσεώς σου, ἣν δέδωκεν ὁ θεὸς τῷ Ἀβραάμ.
Gen 28:5	καὶ ἀπέστειλεν Ἰσαὰκ τὸν Ἰακώβ, καὶ ἐπορεύθη εἰς τὴν Μεσοποταμίαν πρὸς Λαβὰν τὸν υἱὸν Βαθουὴλ τοῦ Σύρου, ἀδελφὸν δὲ Ῥεβέκκας τῆς μητρὸς Ἰακὼβ καὶ Ἠσαύ.
Gen 28:6	ἴδεν δὲ Ἠσαὺ ὅτι εὐλόγησεν Ἰσαὰκ τὸν Ἰακὼβ καὶ ἀπῴχετο εἰς τὴν Μεσοποταμίαν Συρίας λαβεῖν ἑαυτῷ γυναῖκα, ἐν τῷ εὐλογεῖν αὐτόν, καὶ ἐνετείλατο αὐτῷ λέγων Οὐ λήμψῃ γυναῖκα ἀπὸ τῶν θυγατέρων Χανάαν·
Gen 28:7	καὶ ἤκουσεν Ἰακὼβ τοῦ πατρὸς καὶ τῆς μητρὸς ἑαυτοῦ, καὶ ἐπορεύθη εἰς τὴν Μεσοποταμίαν.
Gen 28:8	καὶ ἴδεν Ἠσαὺ ὅτι πονηραί εἰσιν αἱ θυγατέρες Χανάαν ἐναντίον Ἰσαὰκ τοῦ πατρὸς αὐτοῦ,
Gen 28:9	καὶ ἐπορεύθη Ἠσαὺ πρὸς Ἰσμαήλ, καὶ ἔλαβεν τὴν Μαελὲθ θυγατέρα Ἰσμαὴλ τοῦ υἱοῦ Ἀβραάμ, ἀδελφὴν Ναβαιώθ, πρὸς ταῖς γυναιξὶν αὐτοῦ γυναῖκα.
Gen 28:10	Καὶ ἐξῆλθεν Ἰακὼβ ἀπὸ τοῦ φρέατος τοῦ ὅρκου, καὶ ἐπορεύθη εἰς Χαρράν.
Gen 28:11	καὶ ἀπήντησεν τόπῳ καὶ ἐκοιμήθη ἐκεῖ· ἔδυ γὰρ ὁ ἥλιος· καὶ ἔλαβεν ἀπὸ τῶν λίθων τοῦ τόπου καὶ ἐπέθηκεν πρὸς κεφαλῆς αὐτοῦ, καὶ ἐκοιμήθη ἐν τῷ τόπῳ ἐκείνῳ.
Gen 28:12	καὶ ἐνυπνιάσθη· καὶ ἰδοὺ κλίμαξ ἐστηριγμένη ἐν τῇ γῇ ἧς ἡ κεφαλὴ ἀφικνεῖτο εἰς τὸν οὐρανόν, καὶ οἱ ἄγγελοι τοῦ θεοῦ ἀνέβαινον καὶ κατέβαινον ἐπ᾽ αὐτῆς.
Gen 28:13	ὁ δὲ Κύριος ἐπεστήρικτο ἐπ᾽ αὐτῆς καὶ εἶπεν Ἐγὼ ὁ θεὸς Ἀβραὰμ τοῦ πατρός σου καὶ ὁ θεὸς Ἰσαάκ· μὴ φοβοῦ· ἡ γῆ ἐφ᾽ ἧς σὺ καθεύδεις ἐπ᾽ αὐτῆς, σοὶ δώσω αὐτὴν καὶ τῷ σπέρματί σου.
Gen 28:14	καὶ ἔσται τὸ σπέρμα σου ὡς ἡ ἄμμος τῆς θαλάσσης, καὶ πλατυνθήσεται ἐπὶ θάλασσαν καὶ ἐπὶ λίβα καὶ ἐπὶ βορρᾶν καὶ ἐπ᾽ ἀνατολάς· ⸆ καὶ ἐνευλογηθήσονται ἐν σοὶ πᾶσαι αἱ φυλαὶ τῆς γῆς καὶ ἐν τῷ σπέρματί σου.
Gen 28:15	καὶ ἰδού ἐγὼ μετὰ σοῦ, διαφυλάσσων σε ἐν τῇ ὁδῷ πάσῃ οὗ ἐὰν πορευθῇς, καὶ ἀποστρέψω σε εἰς τὴν γῆν ταύτην· ὅτι οὐ μή σε ἐγκαταλείπω ἕως τοῦ ποιῆσαί με πάντα ὅσα ἐλάλησά σοι.
Gen 28:16	⸂⸆⸃ καὶ ἐξηγέρθη Ἰακὼβ ἀπὸ τοῦ ὕπνου αὐτοῦ καὶ εἶπεν ὅτι Ἔστιν Κύριος ἐν τῷ τόπῳ τούτῳ, ἐγὼ δὲ οὐκ ᾔδειν.
Gen 28:17	καὶ ἐφοβήθη, καὶ εἶπεν Ὡς φοβερὸς ὁ τόπος οὗτος· οὐκ ἔστιν τοῦτο ἀλλ᾽ ἢ οἶκος θεοῦ, καὶ αὕτη ἡ πύλη τοῦ οὐρανοῦ.
Gen 28:18	καὶ ἀνέστη Ἰακὼβ τὸ πρωί, καὶ ἔλαβεν τὸν λίθον ὃν ἔθηκεν ἐκεῖ πρὸς κεφαλῆς αὐτοῦ καὶ ἔστησεν αὐτὸν στήλην, καὶ ἐπέχεεν ἔλαιον ἐπὶ τὸ ἄκρον αὐτῆς
Gen 28:19	καὶ ἐκάλεσεν Ἰακὼβ τὸ ὄνομα τοῦ τόπου ἐκείνου Οἶκος θεοῦ· καὶ Οὐλαμμαὺς ἦν ὄνομα τῇ πόλει τὸ πρότερον.
Gen 28:20	καὶ ηὔξατο Ἰακὼβ εὐχὴν λέγων Ἐὰν ᾖ Κύριος ὁ θεὸς μετ᾽ ἐμοῦ, καὶ διαφυλάξῃ με ἐν τῇ ὁδῷ ταύτῃ ᾗ ἐγὼ πορεύομαι, καὶ δῷ μοι ἄρτον φαγεῖν καὶ ἱμάτιον περιβαλέσθαι,
Gen 28:21	καὶ ἀποστρέψῃ με μετὰ σωτηρίας εἰς τὸν οἶκον τοῦ πατρός μου, καὶ ἔσται μοι Κύριος εἰς θεόν·
Gen 28:22	καὶ ὁ λίθος οὗτος, ὃν ἔστησα στήλην, ἔσται μοι οἶκος θεοῦ· καὶ πάντων ὧν ἐάν μοι δῷς, δεκάτην ἀποδεκατώσω αὐτά σοι.
Gen 29:1	Καὶ ἐξάρας Ἰακὼβ τοὺς πόδας ἐπορεύθη εἰς γῆν ἀνατολῶν πρὸς Λαβὰν τὸν υἱὸν Βαθουὴλ τοῦ Σύρου, ἀδελφὸν δὲ Ῥεβέκκας μητρὸς Ἰακὼβ καὶ Ἠσαύ.
Gen 29:2	καὶ ὁρᾷ, καὶ ἰδοὺ φρέαρ ἐν τῷ πεδίῳ. ἦσαν δὲ ἐκεῖ τρία ποίμνια προβάτων ἀναπαυόμενα ἐπὶ τὸ αὐτό. ἐκ γὰρ τοῦ φρέατος ἐκείνου ἐπότιζον τὰ ποίμνια· λίθος δὲ ἦν μέγας ἐπὶ τῷ στόματι τοῦ φρέατος.
Gen 29:3	καὶ συνήγοντο ἐκεῖ πάντα τὰ ποίμνια, καὶ ἀπεκύλιον τὸν λίθον ἀπὸ τοῦ στόματος τοῦ φρέατος, καὶ ἐπότιζον τὰ πρόβατα, καὶ ἀπεκαθίστων τὸν λίθον ἐπὶ τὸ στόμα τοῦ φρέατος εἰς τὸν τόπον αὐτοῦ.
Gen 29:4	εἶπεν δὲ αὐτοῖς Ἰακώβ Ἀδελφοί, πόθεν ἐστὲ ὑμεῖς; οἱ δὲ εἶπαν Ἐκ Χαρράν ἐσμεν.
Gen 29:5	εἶπεν δὲ αὐτοῖς Γινώσκετε Λαβὰν τὸν υἱὸν Ναχώρ; οἱ δὲ εἶπαν Γινώσκομεν.
Gen 29:6	εἶπεν δὲ αὐτοῖς Ὑγιαίνει; οἱ δὲ εἶπαν Ὑγιαίνει. ἔτι αὐτοῦ λαλοῦντος καὶ ἰδοὺ Ῥαχὴλ ἡ θυγάτηρ αὐτοῦ ἤρχετο μετὰ τῶν προβάτων τοῦ πατρὸς αὐτῆς· αὐτὴ γὰρ ἔβοσκεν τὰ πρόβατα τοῦ πατρὸς αὐτῆς.
Gen 29:7	καὶ εἶπεν Ἰακώβ Ἔτι ἐστὶν ἡμέρα πολλή, οὔπω ὥρα συναχθῆναι τὰ κτήνη· ποτίσαντες τὰ πρόβατα ἀπελθόντες βόσκετε.
Gen 29:8	οἱ δὲ εἶπαν Οὐ δυνησόμεθα ἕως τοῦ συναχθῆναι πάντας τοὺς ποιμένας, καὶ ἀποκυλίσωσι τὸν λίθον ἀπὸ τοῦ στόματος τοῦ φρέατος, καὶ ποτιοῦμεν τὰ πρόβατα.
Gen 29:9	ἔτι αὐτοῦ λαλοῦντος αὐτοῖς, καὶ Ῥαχὴλ ἡ θυγάτηρ Λαβὰν ἤρχετο μετὰ τῶν προβάτων τοῦ πατρὸς αὐτῆς· αὐτὴ γὰρ ἔβοσκεν τὰ πρόβατα τοῦ πατρὸς αὐτῆς.
Gen 29:10	ἐγένετο δὲ ὡς ἴδεν Ἰακὼβ τὴν Ῥαχὴλ θυγατέρα ⸆ Λαβὰν ἀδελφοῦ τῆς μητρὸς αὐτοῦ, καὶ προσελθὼν Ἰακὼβ ἀπεκύλισεν τὸν λίθον ἀπὸ τοῦ στόματος τοῦ φρέατος, καὶ ἐπότισεν τὰ πρόβατα Λαβὰν τοῦ ἀδελφοῦ τῆς μητρὸς αὐτοῦ.
Gen 29:11	καὶ ἐφίλησεν Ἰακὼβ τὴν Ῥαχήλ, καὶ βοήσας τῇ φωνῇ αὐτοῦ ἔκλαυσεν.
Gen 29:12	καὶ ἀνήγγειλεν τῇ Ῥαχὴλ ὅτι ἀδελφὸς τοῦ πατρὸς αὐτῆς ἐστίν, καὶ ὅτι υἱὸς Ῥεβέκκας ἐστίν· ⸂⸆⸃ καὶ δραμοῦσα ἀπήγγειλεν τῷ πατρὶ αὐτῆς ⸆ κατὰ τὰ ῥήματα ταῦτα.
Gen 29:13	καὶ ἐγένετο ὡς ἤκουσεν Λαβὰν τὸ ὄνομα Ἰακὼβ τοῦ υἱοῦ τῆς ἀδελφῆς αὐτοῦ, ἔδραμεν εἰς συνάντησιν αὐτοῦ, καὶ περιλαβὼν αὐτὸν ἐφίλησεν, καὶ εἰσήγαγεν αὐτὸν εἰς τὸν οἶκον αὐτοῦ· καὶ διηγήσατο τῷ Λαβὰν πάντας τοὺς λόγους τούτους.
Gen 29:14	καὶ εἶπεν αὐτῷ Λαβάν Ἐκ τῶν ὀστῶν μου καὶ ἐκ τῆς σαρκός μου εἶ σύ· καὶ ἦν μετ᾽ αὐτοῦ ⸂⸆⸃ μῆνα ἡμερῶν.
Gen 29:15	εἶπεν δὲ Λαβὰν τῷ Ἰακώβ Ὅτι γὰρ ἀδελφός μου εἶ, οὐ δουλεύσεις μοι δωρεάν· ἀπάγγειλόν μοι τίς ὁ μισθός σού ἐστιν.
Gen 29:16	τῷ δὲ Λαβὰν ἦσαν δύο θυγατέρες· ὄνομα τῇ μείζονι Λεία, καὶ ὄνομα τῇ νεωτέρᾳ Ῥαχήλ.
Gen 29:17	οἱ δὲ ὀφθαλμοὶ Λείας ἀσθενεῖς· Ῥαχὴλ δὲ ἦν καλὴ τῷ εἴδει καὶ ὡραία τῇ ὄψει.
Gen 29:18	ἠγάπησεν δὲ Ἰακὼβ τὴν Ῥαχήλ, καὶ εἶπεν Δουλεύσω σοι ἑπτὰ ἔτη περὶ Ῥαχὴλ τῆς θυγατρός σου τῆς νεωτέρας.
Gen 29:19	εἶπεν δὲ αὐτῷ Λαβάν Βέλτιον δοῦναί με αὐτὴν σοὶ ἢ δοῦναί με αὐτὴν ἀνδρὶ ἑτέρῳ· οἴκησον μετ᾽ ἐμοῦ.
Gen 29:20	καὶ ἐδούλευσεν Ἰακὼβ περὶ Ῥαχὴλ ἑπτὰ ἔτη.
Gen 29:21	εἶπεν δὲ Ἰακὼβ τῷ Λαβάν Ἀπόδος μοι τὴν γυναῖκά μου, πεπλήρωνται γὰρ αἱ ἡμέραι μου, ὅπως εἰσέλθω πρὸς αὐτήν.
Gen 29:22	συνήγαγεν δὲ Λαβὰν πάντας τοὺς ἄνδρας τοῦ τόπου καὶ ἐποίησεν γάμον.
Gen 29:23	καὶ ἐγένετο ἑσπέρα, καὶ λαβὼν Λείαν τὴν θυγατέρα αὐτοῦ εἰσήγαγεν αὐτὴν πρὸς Ἰακώβ, καὶ εἰσῆλθεν πρὸς αὐτὴν Ἰακώβ.
Gen 29:24	ἔδωκεν δὲ Λαβὰν Ζέλφαν Λείᾳ τῇ θυγατρὶ αὐτοῦ τὴν παιδίσκην αὐτοῦ αὐτῇ παιδίσκην.
Gen 29:25	ἐγένετο δὲ πρωί, καὶ ἰδοὺ ἦν Λεία· εἶπεν δὲ Ἰακὼβ Λαβάν Τί τοῦτο ἐποίησάς μοι; οὐ περὶ Ῥαχὴλ ἐδούλευσα σοί; καὶ ἵνα τί παρελογίσω με;
Gen 29:26	εἶπεν δὲ Λαβάν Οὐκ ἔστιν οὕτως ἐν τῷ τόπῳ ἡμῶν, δοῦναι τὴν νεωτέραν πρὶν ἢ τὴν πρεσβυτέραν·
Gen 29:27	συντέλεσον οὖν τὰ ἕβδομα ταύτης, καὶ δώσω σοι καὶ ταύτην ἀντὶ τῆς ἐργασίας ἧς ἐργᾷ παρ᾽ ἐμοὶ ἔτι ἑπτὰ ἔτη ἕτερα.
Gen 29:28	ἐποίησεν δὲ Ἰακὼβ οὕτως, καὶ ἀνεπλήρωσεν τὰ ἕβδομα ταύτης· καὶ ἔδωκεν Λαβὰν Ῥαχὴλ τὴν θυγατέρα αὐτοῦ αὐτῷ γυναῖκα.
Gen 29:29	ἔδωκεν δὲ Λαβὰν Ῥαχὴλ τῇ θυγατρὶ αὐτοῦ ⸆ Βάλλαν τὴν παιδίσκην αὐτοῦ αὐτῇ παιδίσκην.
Gen 29:30	καὶ εἰσῆλθεν πρὸς Ῥαχήλ· ἠγάπησεν δὲ Ῥαχὴλ μᾶλλον ἢ Λείαν· καὶ ἐδούλευσεν αὐτῷ ἑπτὰ ἔτη ἕτερα.
Gen 29:31	Ἰδὼν δὲ Κύριος ὁ θεὸς ὅτι μισεῖται Λεία, ἤνοιξεν τὴν μήτραν αὐτῆς· Ῥαχὴλ δὲ ἦν στεῖρα.
Gen 29:32	καὶ συνέλαβεν Λεία καὶ ἔτεκεν υἱὸν τῷ Ἰακώβ· ἐκάλεσεν δὲ τὸ ὄνομα αὐτοῦ Ῥουβὴν λέγουσα Διότι εἶδέν μου Κύριος τὴν ταπείνωσιν· νῦν ἀγαπήσει με ὁ ἀνήρ μου.
Gen 29:33	καὶ συνέλαβεν πάλιν Λεία καὶ ἔτεκεν υἱὸν δεύτερον τῷ Ἰακώβ, καὶ εἶπεν ὅτι Ἤκουσεν Κύριος ὅτι μισοῦμαι, καὶ προσέδωκέν μοι καὶ τοῦτον· καὶ ἐκάλεσεν τὸ ὄνομα αὐτοῦ Συμεών.
Gen 29:34	⸂⸆⸃ καὶ συνέλαβεν ἔτι καὶ ἔτεκεν υἱόν, καὶ εἶπεν Ἐν τῷ νῦν καιρῷ πρὸς ἐμοῦ ἔσται ὁ ἀνήρ μου, τέτοκα γὰρ αὐτῷ τρεῖς υἱούς· διὰ τοῦτο ἐκλήθη τὸ ὄνομα αὐτοῦ Λευί.
Gen 29:35	καὶ συλλαβοῦσα ἔτι ἔτεκεν υἱόν, καὶ εἶπεν Νῦν ἔτι τοῦτο ἐξομολογήσομαι Κυρίῳ· διὰ τοῦτο ἐκάλεσεν τὸ ὄνομα αὐτοῦ Ἰουδά. καὶ ἔστη τοῦ τίκτειν.
Gen 30:1	Ἰδοῦσα δὲ Ῥαχὴλ ὅτι οὐ τέτοκεν τῷ Ἰακώβ, καὶ ἐζήλωσεν Ῥαχὴλ τὴν ἀδελφὴν αὐτῆς, καὶ εἶπεν τῷ Ἰακώβ Δός μοι τέκνα· εἰ δὲ μή, τελευτήσω ἐγώ.
Gen 30:2	ἐθυμώθη δὲ Ἰακὼβ τῇ Ῥαχὴλ καὶ εἶπεν αὐτῇ Μὴ ἀντὶ τοῦ θεοῦ ἐγώ εἰμι, ὃς ἐστέρησέν σε καρπὸν κοιλίας;
Gen 30:3	εἶπεν δὲ Ῥαχὴλ τῷ Ἰακώβ Ἰδοὺ ἡ παιδίσκη μου Βάλλα, εἴσελθε πρὸς αὐτήν· καὶ τέξεται ἐπὶ τῶν γονάτων μου, ἵνα τεκνοποιήσωμαι κἀγὼ ἐξ αὐτῆς.
Gen 30:4	καὶ ἔδωκεν αὐτῷ Βάλλαν τὴν παιδίσκην αὐτῆς αὐτῷ γυναῖκα, καὶ εἰσῆλθεν πρὸς αὐτὴν Ἰακώβ·
Gen 30:5	καὶ συνέλαβεν Βάλλα ἡ παιδίσκη Ῥαχὴλ καὶ ἔτεκεν τῷ Ἰακὼβ υἱόν.
Gen 30:6	καὶ εἶπεν Ῥαχήλ Ἔκρινέν μοι ὁ θεὸς καὶ ἐπήκουσεν τῆς φωνῆς μου καὶ ἔδωκέν μοι υἱόν· διὰ τοῦτο ἐκάλεσεν τὸ ὄνομα αὐτοῦ Δάν.
Gen 30:7	καὶ συνέλαβεν ἔτι Βάλλα ἡ παιδίσκη Ῥαχὴλ καὶ ἔτεκεν υἱὸν δεὺτερον τῷ Ἰακώβ.
Gen 30:8	καὶ εἶπεν Ῥαχήλ Συνεβάλετό μοι ὁ θεός, καὶ συνανεστράφην τῇ ἀδελφῇ μου καὶ ἠδυνάσθην· καὶ ἐκάλεσεν τὸ ὄνομα αὐτοῦ Νεφθαλεί.
Gen 30:9	ἴδεν δὲ Λεία ὅτι ἔστη τοῦ τίκτειν, καὶ ἔλαβεν Ζέλφαν τὴν παιδίσκην αὐτῆς καὶ ἔδωκεν αὐτὴν τῷ Ἰακὼβ γυναῖκα.
Gen 30:10	εἰσῆλθεν δὲ πρὸς αὐτὴν Ἰακώβ· καὶ συνέλαβεν Ζέλφα ἡ παιδίσκη Λείας καὶ ἔτεκεν τῷ Ἰακὼβ υἱόν.
Gen 30:11	καὶ εἶπεν Λεία Ἐν τύχῃ· καὶ ἐπωνόμασεν τὸ ὄνομα αὐτοῦ Γάδ.
Gen 30:12	καὶ συνέλαβεν ἔτι Ζέλφα ἡ παιδίσκη Λείας καὶ ἔτεκεν ἔτι τῷ Ἰακὼβ υἱὸν δεύτερον.
Gen 30:13	καὶ εἶπεν Λεία Μακαρία ἐγώ, ὅτι μακαρίζουσίν με πᾶσαι αἱ γυναῖκες· καὶ ἐκάλεσεν τὸ ὄνομα αὐτοῦ Ἀσήρ.
Gen 30:14	ἐπορεύθη δὲ Ῥουβὴν ἐν ἡμέραις θερισμοῦ πυρῶν καὶ εὗρεν μῆλα μανδραγόρου ἐν τῷ ἀγρῷ, καὶ ἤνεγκεν αὐτὰ πρὸς Λείαν τὴν μητέρα αὐτοῦ· εἶπεν δὲ Ῥαχὴλ τῇ Λείᾳ Δός μοι τῶν μανδραγορῶν τοῦ υἱοῦ σου.
Gen 30:15	εἶπεν δὲ Λεία Οὐχ ἱκανόν σοι ὅτι ἔλαβες τὸν ἄνδρα μου; μὴ καὶ τοὺς μανδραγόρας τοῦ υἱοῦ μου λήμψῃ; εἶπεν δὲ Ῥαχήλ Οὐχ οὕτως· κοιμηθήτω μετὰ σοῦ τὴν νύκτα ταύτην ἀντὶ τῶν μανδραγορῶν τοῦ υἱοῦ σου.
Gen 30:16	εἰσῆλθεν δὲ Ἰακὼβ ἐξ ἀγροῦ ἑσπέρας, καὶ ἐξῆλθεν Λεία εἰς συνάντησιν αὐτῷ καὶ εἶπεν Πρὸς ἐμὲ εἰσελεύσῃ σήμερον· μεμίσθωμαι γάρ σε ἀντὶ τῶν μανδραγορῶν τοῦ υἱοῦ μου· καὶ ἐκοιμήθη μετ᾽ αὐτῆς τὴν νύκτα ἐκείνην.
Gen 30:17	καὶ ἐπήκουσεν αὐτῆς ὁ θεός, καὶ συλλαβοῦσα ἔτεκεν τῷ Ἰακὼβ υἱὸν πέμπτον.
Gen 30:18	καὶ εἶπεν Λεία Δέδωκέν μοι ὁ θεὸς τὸν μισθόν μου ἀνθ᾽ ὧν ἔδωκα τὴν παιδίσκην μου τῷ ἀνδρί μου· καὶ ἐκάλεσεν τὸ ὄνομα αὐτοῦ Ἰσσαχάρ, ὅ ἐστιν Μισθός.
Gen 30:19	καὶ συνέλαβεν ἔτι Λεία καὶ ἔτεκεν υἱὸν ἕκτον τῷ Ἰακώβ.
Gen 30:20	καὶ εἶπεν Λεία Δεδώρηται ὁ θεός μοι δῶρον καλόν· ἐν τῷ νῦν καιρῷ αἱρετιεῖ με ὁ ἀνήρ μου, τέτοκα γὰρ αὐτῷ υἱοὺς ἕξ· καὶ ἐκάλεσεν τὸ ὄνομα αὐτοῦ Ζαβουλών.
Gen 30:21	καὶ μετὰ τοῦτο ἔτεκεν θυγατέρα, καὶ ἐκάλεσεν τὸ ὄνομα αὐτῆς Δεινά. καὶ ἔστη τοῦ τίκτειν.
Gen 30:22	ἐμνήσθη δὲ ὁ θεὸς Ῥαχήλ· καὶ ἐπήκουσεν αὐτῆς ὁ θεός, καὶ ἀνέῳξεν αὐτῆς τὴν μήτραν·
Gen 30:23	καὶ συλλαβοῦσα ἔτεκεν τῷ Ἰακὼβ υἱόν. εἶπεν δὲ Ῥαχήλ Ἀφεῖλεν ὁ θεός μου τὸ ὄνειδος·
Gen 30:24	καὶ ἐκάλεσεν τὸ ὄνομα αὐτοῦ Ἰωσὴφ λέγουσα Προσθέτω ὁ θεός μοι υἱὸν ἕτερον.
Gen 30:25	Ἐγένετο δὲ ὡς ἔτεκεν Ῥαχὴλ τὸν Ἰωσήφ, εἶπεν Ἰακὼβ τῷ Λαβάν Ἀπόστειλόν με ἵνα ἀπέλθω εἰς τὸν τόπον μου καὶ εἰς τὴν γῆν μου.
Gen 30:26	ἀπόδος μοι τὰς γυναῖκας καὶ τὰ παιδία, περὶ ὧν δεδούλευκά σοι, ἵνα ἀπέλθω· σὺ γὰρ γινώσκεις τὴν δουλίαν ἣν δεδούλευκά σοι.
Gen 30:27	εἶπεν δὲ αὐτῷ Λαβάν Εἰ εὗρον χάριν ἐναντίον σου, οἰωνισάμην ἄν· εὐλόγησεν γάρ με ὁ θεὸς τῇ σῇ εἰσόδῳ.
Gen 30:28	διάστειλον τὸν μισθόν σου πρὸς μέ, καὶ δώσω σοι.
Gen 30:29	εἶπεν δὲ αὐτῷ Ἰακώβ Σὺ γινώσκεις ἃ δεδούλευκά σοι, καὶ ὅσα ἦν κτήνη σου μετ᾽ ἐμοῦ.
Gen 30:30	μικρὰ γὰρ ἦν ὅσα ἦν ἐναντίον μου, καὶ ηὐξήθη εἰς πλῆθος· καὶ ηὐλόγησέν σε Κύριος ἐπὶ τῷ ποδί μου. νῦν οὖν πότε ποιήσω κἀγὼ ἐμαυτῷ οἶκον;
Gen 30:31	καὶ εἶπεν αὐτῷ Λαβάν Τί σοι δώσω; εἶπεν δὲ αὐτῷ Ἰακώβ Οὐ δώσεις μοι οὐθέν· ἐὰν ποιήσεις μοι τὸ ῥῆμα τοῦτο, πάλιν ποιμανῶ τὰ πρόβατά σου καὶ φυλάξω.
Gen 30:32	παρελθάτω τὰ πρόβατά σου σήμερον, καὶ διαχώρισον ἐκεῖθεν πᾶν πρόβατον φαιὸν ἐν τοῖς ἄρνασιν καὶ πᾶν διάραντον καὶ λευκὸν ἐν ταῖς αἰξίν· ἔσται μοι μισθός.
Gen 30:33	καὶ ἐπακούσεταί μοι ἡ δικαιοσύνη μου ἐν τῇ ἡμέρᾳ τῇ αὔριον, ὅτι ἐστὶν ὁ μισθός μου ἐνώπιόν σου· πᾶν ὃ ἐὰν μὴ ᾖ ῥαντὸν καὶ διάλευκον ἐν ταῖς αἰξὶν καὶ φαιὸν ἐν τοῖς ἄρνασιν, κεκλεμμένον ἔσται παρ᾽ ἐμοί.
Gen 30:34	εἶπεν δὲ αὐτῷ Λαβάν Ἔστω κατὰ τὸ ῥῆμά σου.
