Jos 1:1	ΚΑΙ ἐγένετο μετὰ τὴν τελευτὴν Μωυσῆ εἶπεν Κύριος τῷ Ἰησοῖ υἱῷ Ναυὴ τῷ ὑπουργῷ Μωυσῆ λέγων
Jos 13:13	καὶ οὐκ ἐξωλέθρευσαν οἱ υἱοὶ Ἰσραὴλ τὸν Γεσειρεὶ καὶ τὸν Μαχατεὶ καὶ τὸν Χαναναῖον· καὶ κατῴκει βασιλεὺς Γεσειρεὶ καὶ ὁ Μαχατεὶ ἐν τοῖς υἱοῖς Ἰσραὴλ ἕως τῆς σήμερον ἡμέρας.
Jos 13:14	πλὴν τῆς φυλῆς Λευεὶ οὐκ ἐδόθη κληρονομία· Κύριος ὁ θεὸς Ἰσραήλ, οὗτος αὐτῶν κληρονομία, καθὰ εἶπεν αὐτοῖς Κυρίος. καὶ οὗτος ὁ καταμερισμὸς ὃν κατεμέρισεν Μωυσῆς τοῖς υἱοῖς Ἰσραὴλ ἐν ἀραβὼθ Μωὰβ ἐν τῷ πέραν τοῦ Ἰορδάνου κατὰ Ἰερειχώ.
Jos 13:15	Καὶ ἔδωκεν Μωυσῆς τῇ φυλῇ Ῥουβὴν κατὰ δήμους αὐτῶν.
Jos 13:16	καὶ ἐγενήθη αὐτῶν τὰ ὅρια ἀπὸ Ἀροήρ, ἥ ἐστιν κατὰ πρόσωπον φάραγγος Ἀρνών, καὶ ἡ πόλις ἡ ἐν τῇ φάραγγι Ἀρνών· καὶ πᾶσαν τὴν Μεισὼρ
Jos 13:17	ἕως Ἑσεβών, καὶ πάσας τὰς πόλεις τὰς οὔσας ἐν τῇ Μεισώρ, καὶ Δαιβὼν καὶ Βαιμὼν Βάαλ καὶ οἴκου Μεελβὼθ
Jos 13:18	καὶ Βάσαν καὶ Βακεδμὼθ καὶ Μαιφάαθ,
Jos 13:19	καὶ Καριαθάιμ καὶ Σεβαμὰ καὶ Σεραδὰ καὶ Σείων ἐν τῷ ὄρει Ἔναβ,
Jos 13:20	καὶ Βαιθφογὼρ καὶ Ἀσηδὼθ Φασγὰ καὶ Βαιθθασεινώθ,
Jos 13:21	καὶ πάσας τὰς πόλεις τοῦ Μεισώρ, καὶ πᾶσαν τὴν βασιλείαν τοῦ Σηὼν βασιλέως τῶν Ἀμορραίων, ὃν ἐπάταξεν Μωυσῆς αὐτὸν καὶ τοὺς ἡγουμένους Μαδιάμ, καὶ τὸν Εὐεὶ καὶ τὸν Ῥόβοκ καὶ τὸν Σοὺρ καὶ τὸν Οὓρ καὶ τὸν Ῥόβε ἄρχοντα, ἔναρα Σειών, καὶ τοὺς κατοικοῦντας Σειών.
Jos 13:22	καὶ τὸν Βαλαὰμ τὸν τοῦ Βεὼρ τὸν μάντιν ἀπέκτειναν ἐν τῇ ῥοπῇ.
Jos 13:23	ἐγένετο δὲ τὰ ὅρια Ῥουβήν, Ἰορδάνης ὅριον. αὕτη ἡ κληρονομία υἱῶν Ῥουβὴν κατὰ δὴμους αὐτῶν, αἱ πόλεις αὐτῶν καὶ αἱ ἐπαύλεις αὐτῶν.
Jos 13:24	Ἔδωκεν δὲ Μωυσῆς τοῖς υἱοῖς Γὰδ κατὰ δήμους αὐτῶν.
Jos 13:25	καὶ ἐγένετο τὰ ὅρια αὐτῶν Ἰαζήρ, πᾶσαι αἱ πόλεις Γαλαὰδ καὶ τὸ ἥμισυ γῆς υἱῶν Ἀμμὼν ἕως Ἀραβά, ἥ ἐστιν κατὰ πρόσωπον Ἀράδ,
Jos 13:26	καὶ ἀπὸ Ἑσεβὼν ἕως ἀραβὼθ κατὰ τὴν Μασσηφά, καὶ Βοτανεὶ καὶ Βαὰν ἕως τῶν ὁρίων Δαιβών,
Jos 13:27	καὶ Ἐναδὼμ καὶ Ὀθαργαεὶ καὶ Βαινθαναβρὰ καὶ Σοκχωθὰ καὶ Σαφὰν καὶ τὴν λοιπὴν βασιλείαν Σηὼν βασιλέως Ἑσεβών· καὶ ὁ Ἰορδάνης ὁριεῖ ἕως μέρους τῆς θαλάσσης Χενέρεθ πέραν τοῦ Ἰορδάνου ἀπ᾽ ἀνατολῶν.
Jos 13:28	αὕτη ἡ κληρονομία υἱῶν Γὰδ κατὰ δήμους αὐτῶν· αὐχένα ἐπιστρέψουσιν ἐναντίον τῶν ἐχθρῶν αὐτῶν· ὅτι ἐγενήθη κατὰ δήμους αὐτῶν· αἱ πόλεις αὐτῶν καὶ αἱ ἐπαύλεις αὐτῶν.
Jos 13:29	Καὶ ἔδωκεν Μωυσῆς τῷ ἡμίσει φυλῆς Μανασσὴ κατὰ δήμους αὐτῶν.
Jos 13:30	καὶ ἐγένετο τὰ ὅρια αὐτῶν ἀπὸ Μαανὰ καὶ πᾶσα βασιλεία Βασανεὶ καὶ πᾶσα βασιλεία Ὤγ βασιλέως Βασάν, καὶ πάσας τὰς κώμας Ἰαεὶρ αἵ εἰσιν ἐν τῇ Βασανείτιδι, ἑξήκοντα πόλεις·
Jos 13:31	καὶ τὸ ἥμισυ τῆς Γαλαάδ, καὶ ἐν Ἀσταρὼθ καὶ ἐν Ἐδράειν πόλεις βασιλείας Ὤγ ἐν Βασανείτιδι, τοῖς Μαχεὶρ υἱοῖς Μανασσὴ καὶ τοῖς ἡμίσεσιν υἱοῖς Μαχεὶρ υἱοῖς Μανασσὴ κατὰ δήμους αὐτῶν.
Jos 13:32	Οὗτοι οὕς κατεκληρονόμησεν Μωυσῆς πέραν τοῦ Ἰορδάνου ἐν ἀραβὼθ Μωάβ, ἐν τῷ πέραν τοῦ Ἰορδάνου τοῦ κατὰ Ἰερειχὼ ἐπ᾽ ἀνατολῶν.
Jos 14:1	Καὶ οὗτοι οἱ κατακληρονομήσαντες υἱῶν Ἰσραὴλ ἐν τῇ γῇ Χανάαν, οἷς κατεκληρονόμησεν αὐτοῖς Ἐλεαζὰρ ὁ ἱερεὺς καὶ Ἰησοῦς ὁ τοῦ Ναυὴ καὶ οἱ ἄρχοντες πατριῶν φυλῶν τῶν υἱῶν Ἰσραήλ.
Jos 14:2	κατὰ κλήρους ἐκληρονόμησαν, ὃν τρόπον ἐνετείλατο Κύριος ἐν χειρὶ Ἰησοῦ ταῖς ἐννέα φυλαῖς καὶ τῷ ἡμίσει φυλῆς,
Jos 14:3	ἀπὸ τοῦ πέραν τοῦ Ἰορδάνου. καὶ τοῖς Λευείταις οὐκ ἔδωκεν κλῆρον ἐν αὐτοῖς,
Jos 14:4	ὅτι ἦσαν οἱ υἱοὶ Ἰωσὴφ δύο φυλαὶ Μανασσὴ καὶ Ἐφράιμ· καὶ οὐκ ἐδόθη μερὶς ἐν τῇ γῇ τοῖς Λευείταις, ἀλλ᾽ ἤ πόλεις κατοικεῖν καὶ τὰ ἀφωρισμένα αὐτῶν τοῖς κτήνεσιν καὶ τὰ κτήνη αὐτῶν.
Jos 14:5	ὅν τρόπον ἐνετείλατο Κύριος τῷ Μωυσῇ, οὕτως ἐποίησαν οἱ υἱοὶ Ἰσραήλ, καὶ ἐμέρισαν τὴν γῆν.
Jos 14:6	Καὶ προσήλθοσαν οἱ υἱοὶ Ἰούδα πρὸς Ἰησοῦν ἐν Γαλγάλ, καὶ εἶπεν πρὸς αὐτὸν Χαλὲβ ὁ τοῦ Ἰεφοννὴ ὁ Κενεζαῖος Σὺ ἐπίστῃ τὸ ῥῆμα ὅ ἐλάλησεν Κύριος πρὸς Μωυσῆν ἄνθρωπον τοῦ θεοῦ περὶ ἐμοῦ καὶ σοῦ ἐν Καδὴς Βαρνή.
Jos 14:7	τεσσεράκοντα γὰρ ἐτῶν ἤμην ὅτε ἀπέστειλέν με Μωυσῆς ὁ παῖς τοῦ θεοῦ ἐκ Καδὴς Βαρνὴ κατασκοπεῦσαι τὴν γῆν, καὶ ἀπεκρίθην αὐτῷ λόγον κατὰ τὸν νοῦν αὐτοῦ.
Jos 14:8	οἱ δὲ ἀδελφοί μου οἱ ἀναβάντες μετ᾽ ἐμοῦ μετέστησαν τὴν καρδίαν τοῦ λαοῦ, ἐγὼ δὲ προσέθην ἐπακολουθῆσαι Κυρίῳ τῷ θεῷ μου.
Jos 14:9	καὶ ὤμοσεν Μωυσῆς ἐν ἐκείνῃ τῇ ἡμέρᾳ λέγων Ἡ γῆ ἐφ᾽ ἣν ἐπέβης σοὶ ἔσται ἐν κλήρῳ καὶ τοῖς τέκνοις σου εἰς τὸν αἰῶνα, ὅτι προσετέθης ἐπακολουθῆσαι ὀπίσω Κυρίου τοῦ θεοῦ ἡμῶν.
Jos 14:10	καὶ νῦν διέθρεψέν με Κύριος ὃν τρόπον εἶπεν τοῦτο τεσσερακοστὸν καὶ πέμπτον ἔτος ἀφ᾽ οὗ ἐλάλησεν Κύριος τὸ ῥῆμα τοῦτο πρὸς Μωυσῆν, καὶ ἐπορεύθη Ἰσραὴλ ἐν τῇ ἐρήμῳ. καὶ νῦν ἰδοὺ ἐγὼ σήμερον ὀγδοήκοντα καὶ πέντε ἐτῶν·
Jos 14:11	ἔτι εἰμὶ σήμερον ἰσχύων ὡσεὶ ὅτε ἀπέστειλέν με Μωυσῆς, ὡσαύτως ἰσχύω νῦν εἰσελθεῖν καὶ ἐξελθεῖν εἰς τὸν πόλεμον.
Jos 14:12	καὶ νῦν αἰτοῦμαί σε τὸ ὄρος τοῦτο, καθὰ εἶπεν Κύριος τῇ ἡμέρᾳ ἐκείνῃ· ὅτι σὺ ἀκήκοας τὸ ῥῆμα τοῦτο τῇ ἡμέρᾳ ἐκείνῃ. νυνὶ δὲ οἱ Ἐνακεὶμ ἐκεῖ εἰσιν, πόλεις ὀχυραὶ καὶ μεγάλαι· ἐὰν οὖν Κύριος μετ᾽ ἐμοῦ ᾖ, ἐξολεθρεύσω αὐτοὺς ὃν τρόπον εἶπέν μοι Κύριος.
Jos 14:13	καὶ εὐλόγησεν αὐτὸν Ἰησοῦς, καὶ ἔδωκεν Χεβρὼν τῷ Χαλὲβ υἱῷ Ἰεφοννὴ υἱῷ Κενὲζ ἐν κλήρῳ.
Jos 14:14	διὰ τοῦτο ἐγενήθη ἡ Χεβρὼν τῷ Χαλὲβ τῷ τοῦ Ἰεφοννὴ τοῦ Κενεζαίου ἐν κλήρῳ ἕως τῆς ἡμέρας ταύτης, διὰ τὸ αὐτὸν ἐπακολουθῆσαι τῷ προστάγματι. Κυρίου θεοῦ Ἰσραήλ.
Jos 14:15	τὸ δὲ ὄνομα τῆς Χεβρὼν ἦν τὸ πρότερον πόλις Ἀργόβ· μητρόπολις τῶν Ἐνακεὶμ αὕτη. καὶ ἡ γῆ ἐκόπασεν τοῦ πολέμου.
Jos 15:1	Καὶ ἐγένετο τὰ ὅρια φυλῆς Ἰούδα κατὰ δήμους αὐτῶν ἀπὸ τῶν ὁρίων τῆς Ἰουδαίας, ἀπὸ τῆς ἐρήμου Σεὶν ἕως Καδὴς πρὸς λίβα.
Jos 15:2	καὶ ἐγενήθη αὐτῶν τὰ ὅρια ἀπὸ λιβὸς ἕως μέρους τῆς θαλάσσης τῆς ἁλυκῆς, ἀπὸ τῆς λοφιᾶς τῆς φερούσης ἐπὶ λίβα·
Jos 15:3	καὶ διαπορεύεται ἀπέναντι τῆς προσαναβάσεως Ἀκραβείν, καὶ ἐκπεριπορεύεται Ἔννακ, καὶ ἀναβαίνει ἐπὶ λιβὸς ἐπὶ Καδὴς Βαρνή, καὶ ἐκπορεύεται Ἁσωρών, καὶ προσαναβαίνει εἰς Σαράδα, καὶ ἐκπορεύεται τὴν κατὰ δυσμὰς Καδής,
Jos 15:4	καὶ ἐκπορεύεται ἐπὶ Σελμῶναν, καὶ διεκβαλεῖ ἕως φάραγγος Αἰγύπτου, καὶ ἔσται αὐτοῦ ἡ διέξοδος τῶν ὁρίων ἐπὶ τὴν θάλασσαν· τοῦτό ἐστιν αὐτῶν ὅρια ἀπὸ λιβός.
Jos 15:5	καὶ τὰ ὅρια ἀπὸ ἀνατολῶν πᾶσα ἡ θάλασσα ἡ ἁλυκὴ ἕως τοῦ Ἰορδάνου. καὶ τὰ ὅρια αὐτῶν ἀπὸ βορρᾶ, καὶ ἀπὸ τῆς λοφιᾶς τῆς θαλάσσης καὶ ἀπὸ τοῦ μέρους τοῦ Ἰορδάνου
Jos 15:6	ἐπιβαίνει τὰ ὅρια ἐπὶ Βαιθαγλάαμ, καὶ παραπορεύεται ἀπὸ βορρᾶ ἐπὶ Βαιθαραβά, καὶ προσαναβαίνει τὰ ὅρια ἐπὶ λίθον Βαίων υἱοῦ Ῥουβήν·
Jos 15:7	καὶ προσαναβαίνει τὰ ὅρια ἐπὶ τὸ τέταρτον τῆς φάραγγος Ἀχώρ, καὶ καταβαίνει ἐπὶ Τααγάδ, ἥ ἐστιν ἀπέναντι τῆς προσβάσεως Ἀδδαμείν, ἥ ἐστιν κατὰ λίβα τῇ φάραγγι, καὶ διεκβαλεῖ ἐπὶ τὸ ὕδωρ πηγῆς ἡλίου, καὶ ἔσται αὐτοῦ ἡ διέξοδος πηγὴ Ῥωγήλ·
Jos 15:8	καὶ ἀναβαίνει τὰ ὅρια εἰς φάραγγα Ὁνὸμ ἐπὶ νότου τοῦ Ἰεβοὺς ἀπὸ λιβός, αὕτη ἐστὶν Ἰερουσαλήμ, καὶ ἐκβάλλει τὰ ὅρια ἐπὶ κορυφὴν ὄρους ἥ ἐστιν κατὰ προσώπον φάραγγος Ὁνὸμ πρὸς θαλάσσης, ἥ ἐστιν ἐκ μέρους γῆς Ῥαφαεὶν ἐπὶ βορρᾶ·
Jos 15:9	καὶ διεκβάλλει τὸ ὅριον ἀπὸ κορυφῆς τοῦ ὄρους ἐπὶ πηγὴν ὕδατος Μαφθώ, καὶ διεκβάλλει εἰς τὸ ὄρος Ἐφρών, καὶ ἄξει τὸ ὅριον Ἰεβάαλ, αὕτη ἐστὶν πόλις Ἰαρείμ·
Jos 15:10	καὶ περιελεύσεται ὅριον ἀπὸ Βάαλ ἐπὶ θάλασσαν, καὶ παρελεύσεται εἰς ὄρος Ἀσσὰρ ἐπὶ νώτου πόλιν Ἰαρεὶν ἀπὸ βορρᾶ, αὕτη ἐστὶν Χασλών, καὶ καταβήσεται ἐπὶ πόλιν ἡλίου, καὶ παρελεύσεται ἐπὶ λίβα·
Jos 15:11	καὶ διεκβαλεῖ τὸ ὅριον κατὰ νώτου Ἀκκαρὼν ἐπὶ βορρᾶν, καὶ διεκβαλεῖ τὰ ὅρια εἰς Σοκχώθ, καὶ παρελεύσεται ὅρια ἐπὶ λίβα, καὶ διεκβαλεῖ ἐπὶ Λεμνά, καὶ ἔσται ἡ διέξοδος τῶν ὁρίων ἐπὶ θάλασσαν.
Jos 15:12	καὶ τὰ ὅρια αὐτῶν ἀπὸ θαλάσσης, ἡ θάλασσα ἡ μεγάλη ὁριεῖ. ταῦτα τὰ ὅρια υἱῶν Ἰούδα κύκλῳ κατὰ δήμους αὐτῶν.
Jos 15:13	Καὶ τῷ Χαλὲβ υἱῷ Ἰεφοννὴ ἔδωκεν μερίδα ἐν μέσῳ υἱῶν Ἰούδα ἀπὸ προστάγματος τοῦ θεοῦ, καὶ ἔδωκεν αὐτῷ Ἰησοῦς τὴν πόλιν Ἀρβὸκ μητρόπολιν Ἐνάκ, αὕτη ἐστὶν Χεβρών.
Jos 15:14	καὶ ἐξωλέθρευσεν ἐκεῖθεν Χαλὲβ υἱὸς Ἰεφοννὴ τοὺς τρεῖς υἱοὺς Ἐνάκ, τὸν Σουσεὶ καὶ Θοαλμεὶ καὶ τὸν Ἀχειμά.
Jos 15:15	καὶ ἀνέβη ἐκεῖθεν Χαλὲβ ἐπὶ τοὺς κατοικοῦντας Δαβείρ· τὸ δὲ ὄνομα Δαβεὶρ ἦν τὸ πρότερον Πόλις γραμμάτων.
Jos 15:16	καὶ εἶπεν Χαλέβ Ὅς ἐὰν λάβῃ καὶ ἐκκόψῃ τὴν Πόλιν τῶν γραμμάτων καὶ κυριεύσῃ αὐτῆς, δώσω αὐτῷ τὴν Ἄσχαν θυγατέρα μου εἰς γυναῖκα.
Jos 15:17	καὶ ἔλαβεν αὐτὴν Γοθονιὴλ υἱὸς Κενὲζ ἀδελφοῦ Χαλέβ· καὶ ἔδωκεν αὐτῷ τὴν Ἄσχαν θυγατέρα αὐτοῦ γυναῖκα.
Jos 15:18	καὶ ἐγένετο ἐν τῷ ἐκπορεύεσθαι αὐτὴν καὶ συνεβουλεύσατο αὐτῷ λέγουσα Αἰτήσομαι τὸν πατέρα μου ἀγρόν· καὶ ἐβόησεν ἐκ τοῦ ὄνου. καὶ εἶπεν αὐτῇ Χαλέβ Τί ἐστίν σοι;
Jos 15:19	καὶ εἶπεν αὐτῷ Δός μοι εὐλογίαν, ὅτι εἰς γῆν Νάγεβ δέδωκάς με· δός μοι τὴν Βοθθανείς. καὶ ἔδωκεν αὐτῇ τὴν Γοναιθλὰν τὴν ἄνω καὶ τὴν Γοναιθλὰν τὴν κάτω.
Jos 15:20	Αὕτη ἡ κληρονομία φυλῆς υἱῶν Ἰούδα.
Jos 15:21	Ἐγενήθησαν δὲ πόλεις αὐτῶν πόλεις πρὸς τῇ φυλῇ υἱῶν Ἰούδα ἐφ᾽ ὁρίων Ἐδὼμ ἐπὶ τῆς ἐρήμου, Καιβαισελεὴλ καὶ Ἄρα καὶ Ἀσὼρ
Jos 15:22	καὶ Ἰκὰμ καὶ Ῥεγμὰ καὶ Ἀρουὴλ
Jos 15:23	καὶ Κάδης καὶ Ἁσοριωνάιν καὶ Μαινὰμ
Jos 15:24	καὶ Βαλμαινὰν καὶ αἱ κῶμαι αὐτῶν,
Jos 15:25	καὶ αἱ πόλεις Ἁσερών αὕτη Ἁσώρ,
Jos 15:26	καὶ Σὴν καὶ Σαλμάα καὶ Μωλαδὰ
Jos 15:27	καὶ Σερεὶ καὶ Βαιφάλαδ
Jos 15:28	καὶ Χολασεωλὰ καὶ Βηρσάβεε καὶ αἱ κῶμαι αὐτῶν καὶ αἱ ἐπαύλεις αὐτῶν,
Jos 15:29	Βαλὰ καὶ Βακὼκ καὶ Ἄσομ
Jos 15:30	καὶ Ἐλβωυδὰδ καὶ Βαιθὴλ καὶ Ἑρμὰ
Jos 15:31	καὶ Σεκελὰκ καὶ Μαχαρεὶμ καὶ Σεθεννὰκ
Jos 15:32	καὶ Λαβὼς καὶ Σαλὴ καὶ Ἐρωμώθ, πόλεις κθ᾽ καὶ αἱ κῶμαι αὐτῶν.
Jos 15:33	Ἐν τῇ πεδινῇ Ἀσταὼλ καὶ Ῥαὰ καὶ Ἀσσὰ
Jos 15:34	καὶ Ῥαμὲν καὶ Τανὼ καὶ Ἰλουθὼθ καὶ Μαιανεὶ
Jos 15:35	καὶ Ἰερμοὺθ καὶ Ὀδολλὰμ καὶ Μεμβρὰ καὶ Σαωχὼ καὶ Ἰαζηκὰ
Jos 15:36	καὶ Σακαρεὶμ καὶ Γαδηρὰ καὶ αἱ ἐπαύλεις αὐτῆς, πόλεις δέκα τέσσαρες καὶ αἱ κῶμαι αὐτῶν·
Jos 15:37	Σεννὰ καὶ Ἀδασὰν καὶ Μαγαδὰ Γὰδ
Jos 15:38	καὶ Δαλὰλ καὶ Μασφὰ καὶ Ἰακαρεὴλ
Jos 15:39	καὶ Μαχὴς καὶ Βασηδὼθ καὶ Ἰδεαδαλεὰ
Jos 15:40	καὶ Χαβρὰ καὶ Μαχὲς καὶ Μααχὼς
Jos 15:41	καὶ Γεδδὼρ καὶ Βαγαδιὴλ καὶ Νωμὰν καὶ Μακηδάν, πόλεις δέκα ἓξ καὶ αἱ κῶμαι αὐτῶν·
Jos 15:42	Λεμνὰ καὶ Ἴθακ καὶ Ἀνὼχ
Jos 15:43	καὶ Ἰανὰ καὶ Νασεὶβ
Jos 15:44	καὶ Κεειλάμ καὶ Ἀκιεζεὶ καὶ Κεζεὶβ καὶ Βαθησὰρ καὶ Αἰλών, πόλεις δέκα καὶ αἱ κῶμαι αὐτῶν·
Jos 15:45	Ἀκκαρὼν καὶ αἱ κῶμαι αὐτῆς καὶ αἱ ἐπαύλεις αὐτῶν·
Jos 15:46	ἀπὸ Ἀκκαρὼν Γέμνα· καὶ πᾶσαι ὅσαι εἰσὶν πλησίον Ἀσηδὼθ καὶ αἱ κῶμαι αὐτῶν·
Jos 15:47	Ἀσειεδὼθ καὶ αἱ κῶμαι αὐτῆς καὶ αἱ ἐπαύλεις αὐτῆς· Γάζα καὶ αἱ κῶμαι αὐτῆς καὶ αἱ ἐπαύλεις αὐτῆς ἕως τοῦ χειμάρρου Αἰγύπτου· καὶ ἡ θάλασσα ἡ μεγάλη διορίζει.
Jos 15:48	Καὶ ἐν τῇ ὀρεινῇ Σαμεὶρ καὶ Ἰεθὲρ καὶ Σωχὰ
Jos 15:49	καὶ Ῥεννὰ καὶ Πόλις γραμμάτων, αὕτη Δαβείρ,
Jos 15:50	καὶ Ἀνὼν καὶ Ἐσκαιμὰν καὶ Αἰσὰμ
Jos 15:51	καὶ Γόσομ καὶ Χαλοὺ καὶ Χαννά, πόλεις ἕνδεκα καὶ αἱ κῶμαι αὐτῶν·
Jos 15:52	Αἰρὲμ καὶ Ῥεμνὰ καὶ Σομὰ
Jos 15:53	καὶ Ἰεμάειν καὶ Βαιθαχοὺ καὶ Φακουά
Jos 15:54	καὶ Εὑμὰ καὶ πόλις Ἀρβόκ, αὕτη ἐστὶν Χεβρών, καὶ Σώρθ, πόλεις ἐννέα καὶ αἱ ἐπαύλεις αὐτῶν·
Jos 15:55	Μαὼρ καὶ Χερμὲλ καὶ Ὀζεὶβ καὶ Ἰτὰν
Jos 15:56	καὶ Ἰαριὴλ καὶ Ἰαρεικὰμ καὶ Ζακανάειμ
Jos 15:57	καὶ Γαβαὰ καὶ Θαμναθά, πόλεις ἐννέα καὶ αἱ κῶμαι αὐτῶν·
Jos 15:58	Ἁλουὰ καὶ Βαιθσοὺρ καὶ Γεδδὼν
Jos 15:59	καὶ Μαγαρὼθ καὶ Βαιθανὰμ καὶ θεκούμ, πόλεις ἓξ καὶ αἱ κῶμαι αὐτῶν· [1] Θἐκὼ καὶ Ἐφράθα, αὕτη ἐστὶν Βαιθλέεμ, καὶ Φαγὼρ καὶ Αἰτὰν καὶ Κουλὸν καὶ Τατὰμ καὶ Ἐωβὴς καὶ Καρὲμ καὶ Γαλὲμ καὶ Θεθὴρ καὶ Μανοχώ, πόλεις ἕνδεκα καὶ αἱ κῶμαι αὐτῶν·
Jos 15:60	Καριαθβάαλ, αὕτη ἡ πόλις Ἰαρείμ, καὶ Σωθηβά, πόλεις δύο καὶ αἱ ἐπαύλεις αὐτῶν·
Jos 15:61	καὶ Βαδδαργεὶς καὶ Θαραβαὰμ καὶ Αἰνὼν
Jos 15:62	καὶ Αἰχιοζὰ καὶ Ναφλαζὼν καὶ αἱ πόλεις Σάδωμ καὶ Ἀκνάδης, πόλεις ἑπτὰ καὶ αἱ κῶμαι αὐτῶν.
Jos 15:63	Καὶ ὁ Ἰεβουσαῖος κατῴκει ἐν Ἰερουσαλήμ, καὶ οὐκ ἠδυνάσθησαν οἱ υἱοὶ Ἰούδα ἀπολέσαι αὐτούς· καὶ κατῴκησαν οἱ Ἰεβουσαῖοι ἐν Ἰερουσαλὴμ ἕως τῆς ἡμέρας ἐκείνης.
Jos 16:1	Καὶ ἐγένετο τὰ ὅρια υἱῶν Ἰωσὴφ ἀπὸ τοῦ Ἰορδάνου τοῦ κατὰ Ἰερειχὼ ἀπ᾽ ἀνατολῶν, καὶ ἀναβήσεται ἀπὸ Ἰερειχὼ εἰς τὴν ὀρεινὴν τὴν ἔρημον εἰς Βαιθὴλ Λοῦζα,
Jos 16:2	καὶ ἐξελεύσεται εἰς Βαιθήλ, καὶ παρελεύσεται ἐπὶ τὰ ὅρια τοῦ Χαταρωθεί,
Jos 16:3	καὶ διελεύσεται ἐπὶ τὴν θάλασσαν ἐπὶ τὰ ὅρια Ἁπταλεὶμ ἕως τῶν ὁρίων Βαιθωρὼν τὴν κάτω, καὶ ἔσται ἡ διέξοδος αὐτῶν ἐπὶ τὴν θάλασσαν.
Jos 16:4	καὶ ἐκληρονόμησαν οἱ υἱοὶ Ἰωσήφ, Ἐφράιμ καὶ Μανασσή.
Jos 16:5	Καὶ ἐγενήθη ὅρια υἱῶν Ἐφράιμ κατὰ δήμους αὐτῶν· καὶ ἐγενήθη τὰ ὅρια τῆς κληρονομίας αὐτῶν ἀπὸ ἀνατολῶν Ἀσταρὼθ καὶ Ἐρὸκ ἕως Βαιθωρὼν τὴν ἄνω καὶ Γαζαρά.
Jos 16:6	καὶ ἐλεύσεται τὰ ὅρια ἐπὶ τὴν θάλασσαν εἰς Ἱκασμὼν ἀπὸ βορρᾶ Θερμά· περιελεύσεται εἰς ἀνατολὰς εἰς Θηνασὰ καὶ Σελλησά, καὶ παρελεύσεται ἀπ᾽ ἀνατολῶν εἰς Ἰανῶκα
Jos 16:7	καὶ εἰς Μαχὼ καὶ Ἀσταρώθ, καὶ αἱ κῶμαι αὐτῶν· καὶ ἐλεύσεται ἐπὶ Ἰερειχώ, καὶ διεκβαλεῖ ἐπὶ τὸν Ἰορδάνην.
Jos 16:8	καὶ ἀπὸ Ταφοὺ πορεύσεται τὰ ὅρια ἐπὶ θάλασσαν ἐπὶ Χελκανά, καὶ ἔσται ἡ διέξοδος αὐτῶν ἐπὶ θάλασσαν· αὕτη ἡ κληρονομία φυλῆς Ἐφράιμ κατὰ δήμους αὐτῶν.
Jos 16:9	καὶ αἱ πόλεις αἱ ἀφορισθεῖσαι τοῖς υἱοῖς Ἐφράιμ ἀνὰ μέσον τῆς κληρονομίας υἱῶν Μανασσή, πᾶσαι αἱ πόλεις καὶ αἱ κῶμαι αὐτῶν.
Jos 16:10	καὶ οὐκ ἀπώλεσεν Ἐφράιμ τὸν Χαναναῖον τὸν κατοικοῦντα ἐν Γάζερ· καὶ κατῴκει ὁ Χαναναῖος ἐν τῷ Ἐφράιμ ἕως τῆς ἡμέρας ταύτης, ἕως ἀνέβη Φαραὼ βασιλεὺς Αἰγύπτου καὶ ἔλαβεν αὐτὴν καὶ ἐνέπρησεν αὐτὴν ἐν πυρί, καὶ τοὺς Χαναναίους καὶ τοὺς Φερεζαίους καὶ τοὺς κατοικοῦντας ἐν Γάζερ ἐξεκέντησαν· καὶ ἔδωκεν αὐτὴν Φαραὼ ἐν φερνῇ τῇ θυγατρὶ αὐτοῦ.
Jos 17:1	Καὶ ἐγένετο τὰ ὅρια φυλῆς υἱῶν Μανασσή, ὅτι οὗτος πρωτότοκος τῷ Ἰωσήφ· τῷ Μαχεὶρ πρωτοτόκῳ Μανασσὴ πατρὶ Γαλαάδ, ἀνὴρ γὰρ πολεμιστὴς ἦν, ἐν τῇ Γαλααδείτιδι καὶ ἐν τῇ Βασανείτιδι.
Jos 17:2	καὶ ἐγενήθη τοῖς υἱοῖς Μανασσὴ τοῖς λοιποῖς κατὰ δήμους αὐτῶν, τοῖς υἱοῖς Ἰέζει καὶ τοῖς υἱοῖς Κέλεζ καὶ τοῖς υἱοῖς Ἰεζειὴλ καὶ τοῖς υἱοῖς Σύχεμ καὶ τοῖς υἱοῖς Συμαρεὶμ καὶ τοῖς υἱοῖς Ὅφερ· οὗτοι οἱ ἄρσενες κατὰ δήμους αὐτῶν.
Jos 17:3	καὶ τῷ Σαλπαὰδ υἱῷ Ὅφερ, οὐκ ἦσαν αὐτῷ υἱοὶ ἀλλ᾽ ἢ θυγατέρες· καὶ ταῦτα τὰ ὀνόματα τῶν θυγατέρων Σαλπαάδ· Μααλὰ καὶ Νουὰ καὶ Ἑγλὰ καὶ Μελχὰ καὶ Θερσά.
