1Ch 1:1	ΑΔΑΜ, Σήθ, Ἐνώς,
1Ch 14:3	Καὶ ἔλαβεν Δαυεὶδ ἔτι γυναῖκας ἐν Ἰερουσαλήμ· καὶ ἐτέχθησαν Δαυεὶδ ἔτι υἱοὶ καὶ θυγατέρες.
1Ch 14:4	καὶ ταῦτα τὰ ὀνόματα αὐτῶν τῶν τεχθέντων οἳ ἦσαν αὐτῷ ἐν Ἰερουσαλήμ· Σαμάα, Ἰσοβοάμ, Ναθάν, Σαλωμὼν
1Ch 14:5	καὶ Βαὰρ καὶ Ἐκτᾶε καὶ Ἐλειφάλεθ
1Ch 14:6	καὶ Νάγεθ καὶ Νάφαθ καὶ Ἰανουοὺ
1Ch 14:7	καὶ Ἐλεισαμάε καὶ Βαλεγδᾶε καὶ Ἐμφάλετ.
1Ch 14:8	Καὶ ἤκουσαν ἀλλόφυλοι ὅτι ἐχρίσθη Δαυεὶδ βασιλεὺς ἐπὶ πάντα Ἰσραήλ, καὶ ἀνέβησαν πάντες οἱ ἀλλόφυλοι ζητῆσαι τὸν Δαυείδ· καὶ ἤκουσεν Δαυείδ, καὶ ἐξῆλθεν εἰς ἀπάντησιν αὐτοῖς.
1Ch 14:9	καὶ ἀλλόφυλοι ἦλθον καὶ συνέπεσον ἐν τῇ κοιλάδι τῶν γιγάντων.
1Ch 14:10	καὶ ἠρώτησεν Δαυεὶδ διὰ τοῦ θεοῦ λέγων Εἰ ἀναβῶ ἐπὶ τοὺς ἀλλοφύλους καὶ δώσεις αὐτοὺς εἰς τὰς χεῖράς μου; καὶ εἶπεν αὐτῷ Κύριος Ἀνάβηθι, καὶ δώσω αὐτοὺς εἰς τὰς χεῖράς σου.
1Ch 14:11	καὶ ἀνέβη εἰς Φααλφαθισείμ, καὶ ἐπάταξεν αὐτοὺς ἐκεῖ Δαυείδ· καὶ εἶπεν Δαυείδ Διέκοψεν τοὺς ἐχθρούς μου ἐν χειρί μου ὡς διακοπὴν ὕδατος· διὰ τοῦτο ἐκάλεσεν τὸ ὄνομα τοῦ τόπου ἐκείνου Διακοπὴ Φαρισίν.
1Ch 14:12	καὶ ἐνκατέλιπον τοὺς θεοὺς αὐτῶν, καὶ εἶπεν Δαυεὶδ κατακαῦσαι ἐν πυρί.
1Ch 14:13	καὶ προσέθεντο ἔτι ἀλλόφυλοι καὶ συνέπεσαν ἔτι ἐν τῇ κοιλάδι τῶν γιγάντων.
1Ch 14:14	καὶ ἠρώτησεν Δαυεὶδ ἔτι ἐν θεῷ, καὶ εἶπεν αὐτῷ ὁ θεός Οὐ πορεύσῃ ὀπίσω αὐτῶν· ἀποστρέφου ἀπ᾽ αὐτῶν, καὶ παρέσῃ αὐτοῖς πλησίον τῶν ἀπίων.
1Ch 14:15	καὶ ἔσται ἐν τῷ ἀκοῦσαί σε τὴν φωνὴν τοῦ συνσεισμοῦ αὐτῶν ἄκρων τῶν ἀπίων, τότε ἐξελεύσῃ εἰς τὸν πόλεμον, ὅτι ἐξῆλθεν ὁ θεὸς ἔμπροσθέν σου τοῦ πατάξαι τὴν παρεμβολὴν τῶν ἀλλοφύλων.
1Ch 14:16	καὶ ἐποίησεν καθὼς ἐνετείλατο αὐτῷ ὁ θεός, καὶ ἐπάταξεν τὴν παρεμβολὴν τῶν ἀλλοφύλων ἀπὸ Γαβαὼν ἕως Γάζαρα.
1Ch 14:17	καὶ ἐγένετο ὄνομα Δαυεὶδ ἐν πάσῃ τῇ γῇ, καὶ Κύριος ἔδωκεν τὸν φόβον αὐτοῦ ἐπὶ πάντα τὰ ἔθνη.
1Ch 15:1	Καὶ ἐποίησεν αὐτῷ οἰκίας ἐν πόλει Δαυείδ, καὶ ἡτοίμασεν τὸν τόπον τῇ κιβωτῷ τοῦ θεοῦ καὶ ἐποίησεν αὐτῇ σκηνήν.
1Ch 15:2	τότε εἶπεν Δαυείδ Οὐκ ἔστιν ἆραι τὴν κιβωτὸν τοῦ θεοῦ ἀλλ᾽ ἢ τοὺς Λευείτας, ὅτι αὐτοὺς ἐξελέξατο Κύριος καὶ λειτουργεῖν αὐτῷ ἕως αἰῶνος.
1Ch 15:3	καὶ ἐξεκλησίασεν Δαυεὶδ τὸν πάντα Ἰσραὴλ εἰς Ἰερουσαλὴμ τοῦ ἀνενέγκαι τὴν κιβωτὸν Κυρίου εἰς τὸν τόπον ὃν ἡτοίμασεν αὐτῇ.
1Ch 15:4	καὶ συνήγαγεν Δαυεὶδ τοὺς υἱοὺς Ἀαρὼν τοὺς Λευείτας.
1Ch 15:5	τῶν υἱῶν Καάθ, Οὐριὴλ ὁ ἄρχων καὶ οἱ ἀδελφοὶ αὐτοῦ ἑκατὸν δέκα·
1Ch 15:6	τῶν υἱῶν Μερραρεί, Ἀσαὶ ὁ ἄρχων καὶ οἱ ἀδελφοὶ αὐτοῦ διακόσιοι πεντήκοντα·
1Ch 15:7	τῶν υἱῶν Γηρσάμ, Ἰωὴλ ὁ ἄρχων καὶ οἱ ἀδελφοὶ αὐτοῦ ἑκατὸν πεντήκοντα·
1Ch 15:8	τῶν υἱῶν Ἐλεισαφάτ, Σαμαίας ὁ ἄρχων καὶ οἱ ἀδελφοὶ αὐτοῦ διακόσιοι·
1Ch 15:9	τῶν υἱῶν Χεβρών, Ἐνὴρ ὁ ἄρχων καὶ οἱ ἀδελφοὶ αὐτῶν ὀγδοήκοντα·
1Ch 15:10	τῶν υἱῶν Ὀζειήλ, Ἀμειναδὰβ ὁ ἄρχων καὶ οἱ ἀδελφοὶ αὐτοῦ ἑκατὸν δέκα δύο.
1Ch 15:11	Καὶ ἐκάλεσεν Δαυεὶδ τὸν Σαδὼκ καὶ Ἀβιαθὰρ τοὺς ἱερεῖς καὶ τοὺς Λευείτας, τὸν Ἀριὴλ, Ἀσαιά, Ἰωήλ, Σαμαίαν, Ἐνήλ, Ἀμειναδάβ,
1Ch 15:12	καὶ εἶπεν αὐτοῖς Ὑμεῖς ἄρχοντες πατριῶν τῶν Λευειτῶν· ἁγνίσθητε ὑμεῖς καὶ οἱ ἀδελφοὶ ὑμῶν, καὶ ἀνοίσετε τὴν κιβωτὸν τοῦ θεοῦ Ἰσραὴλ οὗ ἡτοίμασα αὐτῇ.
1Ch 15:13	ὅτι οὐκ ἐν τῷ πρότερον ὑμᾶς εἶναι διέκοψεν ὁ θεὸς ἡμῶν ἐν ἡμῖν, ὅτι οὐκ ἐζητήσαμεν ἐν κρίματι.
1Ch 15:14	καὶ ἡγνίσθησαν οἱ ἱερεῖς καὶ οἱ Λευεῖται τοῦ ἀνενέγκαι τὴν κιβωτὸν θεοῦ Ἰσραήλ.
1Ch 15:15	καὶ ἔλαβον οἱ υἱοὶ τῶν Λευειτῶν τὴν κιβωτὸν τοῦ θεοῦ, ὡς ἐνετείλατο Μωυσῆς ἐν λόγῳ θεοῦ κατὰ τὴν γραφήν, ἐν ἀναφορεῦσιν ἐπ᾽ αὐτούς·
1Ch 15:16	καὶ εἶπεν Δαυεὶδ τοῖς ἄρχουσιν τῶν Λευειτῶν Στήσατε τοὺς ἀδελφοὺς αὐτῶν τοὺς ψαλτῳδοὺς ἐν ὀργάνοις, νάβλαις, κινύραις καὶ κυμβάλοις, τοῦ φωνῆσαι εἰς ὕψος ἐν φωνῇ εὐφροσύνης.
1Ch 15:17	καὶ ἔστησαν οἱ Λευεῖται τὸν Αἱμὰν υἱὸν Ἰωήλ· ἐκ τῶν ἀδελφῶν αὐτοῦ Ἀσὰφ υἱὸς Βαραχιά, καὶ ἐκ τῶν υἱῶν Μερραεὶ ἀδελφῶν αὐτοῦ Αἰθὰν υἱὸς Κεισαιού.
1Ch 15:18	καὶ μετ᾽ αὐτῶν ἀδελφοὶ αὐτῶν οἱ δεύτεροι, Ζαχαρίας καὶ Ὀζειὴλ καὶ Σεμειραμὼθ καὶ Ἰειὴλ καὶ Ἐλιωὴλ καὶ Ἐλιαβὰ καὶ Βαναιὰ καὶ Μαασσαιὰ καὶ Ἰματταθιὰ καὶ Ἐλειφενὰ καὶ Μακελλειὰ καὶ Ἀβαεδὸμ καὶ Ἰεειὴλ καὶ Ὀζείας, οἱ πυλωροί.
1Ch 15:19	καὶ οἱ ψαλτῳδοί· Αἱμάν, Ἀσὰφ καὶ Αἰθὰν ἐν κυμβάλοις χαλκοῖς τοῦ ἀκουσθῆναι ποιῆσαι·
1Ch 15:20	Ζαχαρίας καὶ Ὀζειήλ, Σαμειραμώθ, Εἰθήλ, Ὠνεί, Ἐλιάβ, Μασσαίας, Βαναίας ἐν νάβλαις ἐπὶ ἀλαιμώθ·
1Ch 15:21	καὶ Μετταθίας καὶ Ἐνφαναίας, Μακενιὰ καὶ Ἀβδεδὸμ καὶ Ἰειὴλ καὶ Ὀζείας ἐν κινύραις ἁμασενεὶθ τοῦ ἰσχῦσαι·
1Ch 15:22	καὶ Κωνενιὰ ἄρχων τῶν Λευειτῶν ἄρχων τῶν ᾠδῶν, ὅτι συνετὸς ἦν.
1Ch 15:23	καὶ Βαραχιὰ καὶ Ἠλκανὰ πυλωροὶ τῆς κιβωτοῦ.
1Ch 15:24	καὶ Σομνιὰ καὶ Ἰωσαφὰτ καὶ Ναθαναὴλ καὶ Ἀμασαὶ καὶ Ζαχαριὰ καὶ Βαναὶ καὶ Ἐλιέζερ οἱ ἱερεῖς, σαλπίζοντες ταῖς σὰλπιγξιν ἔμπροσθεν τῆς κιβωτοῦ τοῦ θεοῦ. καὶ Ἀβδεδὸμ καὶ Ἰειά, πυλωροὶ τῆς κιβωτοῦ τοῦ θεοῦ.
1Ch 15:25	Καὶ ἦν Δαυεὶδ καὶ πρεσβύτεροι Ἰσραὴλ καὶ οἱ χιλίαρχοι οἱ πορευόμενοι τοῦ ἀναγαγεῖν τὴν κιβωτὸν τῆς διαθήκης ἐξ οἴκου Ἀβδοδὸμ ἐν εὐφροσύνῃ.
1Ch 15:26	καὶ ἐγένετο ἐν τῷ κατισχῦσαι τὸν θεὸν τοὺς Λευείτας αἴροντας τὴν κιβωτὸν τῆς διαθήκης Κυρίου, καὶ ἔθυσαν ἀν᾽ ἑπτὰ μόσχους καὶ ἀν᾽ ἑπτὰ κριούς.
1Ch 15:27	καὶ Δαυεὶδ περιεζωσμένος ἐν στολῇ βυσσίνῃ, καὶ πάντες οἱ Λευεῖται αἴροντες τὴν κιβωτὸν διαθήκης Κυρίου καὶ οἱ ψαλτῳδοί, Ἰεχονίας ὁ ἄρχων τῶν ᾠδῶν τῶν ᾀδόντων· καὶ ἐπὶ Δαυεὶδ στολὴ βυσσίνη.
1Ch 15:28	καὶ πᾶς Ἰσραὴλ ἀνάγοντες τὴν κιβωτὸν διαθήκης Κυρίου ἐν σημασίᾳ καὶ ἐν φωνῇ σωφὲρ καὶ ἐν σάλπιγξιν καὶ ἐν κυμβάλοις, ἀναφωνοῦντες νάβλαις καὶ ἐν κινύραις.
1Ch 15:29	καὶ ἐγένετο κιβωτὸς διαθήκης Κυρίου καὶ ἦλθεν ἕως πόλεως Δαυείδ· καὶ Μελχὸλ θυγάτηρ Σαοὺλ παρέκυψεν διὰ τῆς θυρίδος, καὶ εἶδεν τὸν βασιλέα Δαυεὶδ ὀρχούμενον καὶ παίζοντα, καὶ ἐξουδένωσεν αὐτὸν ἐν τῇ ψυχῇ αὐτῆς.
1Ch 16:1	καὶ εἰσήνεγκαν τὴν κιβωτὸν τοῦ θεοῦ, καὶ ἀπηρείσαντο αὐτὴν ἐν μέσῳ τῆς σκηνῆς ἧς ἔπηξεν αὐτῇ Δαυείδ, καὶ προσήνεγκαν ὁλοκαυτώματα καὶ σωτηρίου ἐναντίον τοῦ θεοῦ.
1Ch 16:2	καὶ συνετέλεσεν Δαυεὶδ ἀναφέρων ὁλοκαυτώματα καὶ σωτηρίου, καὶ εὐλόγησεν τὸν λαὸν ἐν ὀνόματι Κυρίου.
1Ch 16:3	καὶ διεμέρισεν παντὶ ἀνδρὶ Ἰσραήλ, ἀπὸ ἀνδρὸς καὶ ἕως γυναικός, τῷ ἀνδρὶ ἄρτον ἕνα ἀρτοκοπικὸν καὶ ἀμορείτην.
1Ch 16:4	Καὶ ἔταξεν κατὰ πρόσωπον τῆς κιβωτοῦ διαθήκης Κυρίου ἐκ τῶν Λευειτῶν λειτουργοῦντας, ἀναφωνοῦντας, καὶ ἐξομολογεῖσθαι καὶ αἰνεῖν Κύριον τὸν θεὸν Ἰσραήλ·
1Ch 16:5	Ἀσὰφ ὁ ἡγούμενος, καὶ δευτερεύων αὐτῷ Ζαχαρίας, Εἰειήλ, Σαμαρειμώθ, Εἰειήλ, Ματταθίας, Ἐλιὰβ καὶ Βαναίας καὶ Ἀβδοδόμ, καὶ Εἰειὴλ ἐν ὀργάνοις, νάβλαις, κινύραις, καὶ Ἀσὰφ ἐν κυμβάλοις ἀναφωνῶν,
1Ch 16:6	καὶ Βαναίας καὶ Ὀζειὴλ οἱ ἱερεῖς ἐν ταῖς σάλπιγξιν διὰ παντὸς ἐναντίον τῆς κιβωτοῦ τῆς διαθήκης τοῦ θεοῦ
1Ch 16:7	ἐν τῇ ἡμέρᾳ ἐκείνῃ. Τότε ἔταξεν Δαυεὶδ ἐν ἀρχῇ τοῦ αἰνεῖν τὸν κύριον ἐν χειρὶ Ἀσὰφ καὶ τῶν ἀδελφῶν αὐτοῦ. ᾨδή.
1Ch 16:8	Ἐξομολογεῖσθε, ἐπικαλεῖσθε αὐτὸν ἐν ὀνόματι αὐτοῦ, γνωρίσατε ἐν λαοῖς τὰ ἐπιτηδεύματα αὐτοῦ.
1Ch 16:9	ᾄσατε αὐτῷ καὶ ὑμνήσατε αὐτῷ, διηγήσασθε πᾶσιν τὰ θαυμάσια αὐτοῦ ἃ ἐποίησεν Κύριος.
1Ch 16:10	αἰνεῖτε ἐν ὀνόματι ἁγίῳ αὐτοῦ, εὐφρανθήσεται καρδία ζητοῦσα τὴν εὐδοκίαν αὐτοῦ.
1Ch 16:11	ζητήσατε καὶ ἰσχύσατε, ζητήσατε τὸ πρόσωπον αὐτοῦ διὰ παντός.
1Ch 16:12	μνημονεύετε τὰ θαυμάσια αὐτοῦ ἃ ἐποίησεν, τέρατα καὶ κρίματα τοῦ στόματος αὐτοῦ.
1Ch 16:13	σπέρμα Ἰσραὴλ παῖδες αὐτοῦ, υἱοὶ Ἰακὼβ ἐκλεκτοὶ αὐτοῦ.
1Ch 16:14	Κύριος ὁ θεὸς ἡμῶν, ἐν πάσῃ τῇ γῇ τὰ κρίματα αὐτοῦ.
1Ch 16:15	μνημονεύομεν εἰς αἰῶνα διαθήκης αὐτοῦ, λόγον αὐτοῦ ὃν ἐνετείλατο εἰς χιλίας γενεάς,
1Ch 16:16	ὃν διέθετο τῷ Ἀβραάμ, καὶ τὸν ὅρκον αὐτοῦ τῷ Ἰσαάκ.
1Ch 16:17	ἔστησεν αὐτὸν τῷ Ἰακὼβ εἰς πρόσταγμα, τῷ Ἰσραὴλ διαθήκην αἰώνιον,
1Ch 16:18	λέγων Σοὶ δώσω τὴν γῆν Χανάαν σχοίνισμα κληρονομίας ὑμῶν.
1Ch 16:19	ἐν τῷ γενέσθαι αὐτοὺς ὀλιγοστοὺς ἀριθμῷ ὡς ἐσμικρύνθησαν καὶ παρῴκησαν ἐν αὐτῇ.
1Ch 16:20	καὶ ἐπορεύθησαν ἀπὸ ἔθνους εἰς ἔθνος καὶ ἀπὸ βασιλείας εἰς λαὸν ἕτερον.
1Ch 16:21	οὐκ ἀφῆκεν ἄνδρα τοῦ δυναστεῦσαι αὐτούς, καὶ ἤλεγξεν περὶ αὐτῶν βασιλεῖς
1Ch 16:22	Μὴ ἅψησθε τῶν χριστῶν μου· ἐν τοῖς προφήταις μου μὴ πονηρεύεσθε.
1Ch 16:23	ᾄσατε τῷ κυρίῳ πᾶσα ἡ γῆ, ἀναγγείλατε ἐξ ἡμέρας εἰς ἡμέραν σωτηρίαν αὐτοῦ.
1Ch 16:24	
1Ch 16:25	ὅτι μέγας Κύριος καὶ αἰνετὸς σφόδρα, φοβερός ἐστιν ἐπὶ πάντας τοὺς θεούς.
1Ch 16:26	ὅτι πάντες οἱ θεοὶ τῶν ἐθνῶν εἴδωλα, καὶ ὁ θεὸς ἡμῶν οὐρανὸν ἐποίησεν.
1Ch 16:27	δόξα καὶ ἔπαινος κατὰ πρόσωπον αὐτοῦ, ἰσχὺς καὶ καύχημα ἐν τόπῳ αὐτοῦ.
1Ch 16:28	δότε τῷ κυρίῳ πατρὶ τῶν ἐθνῶν, δότε τῷ κυρίῳ δόξαν καὶ ἰσχύν,
1Ch 16:29	λάβετε δῶρα καὶ ἐνέγκατε κατὰ πρόσωπον αὐτοῦ, καὶ προσκυνήσατε Κυρίῳ ἐν αὐλαῖς ἁγίαις αὐτοῦ.
1Ch 16:30	φοβηθήτω ἀπὸ προσώπου αὐτοῦ πᾶσα ἡ γῆ, κατορθωθήτω ἡ γῆ καὶ μὴ σαλευθήτω.
1Ch 16:31	εὐφρανθήτω ὁ οὐρανὸς καὶ ἀγαλλιάσθω ἡ γῆ, καὶ εἰπάτωσαν ἐν τοῖς ἔθνεσιν Κύριος βασιλεύων.
1Ch 16:32	βοββήσει ἡ θάλασσα σὺν τῷ πληρώματι· ξύλον ἀγροῦ καὶ πάντα τὰ ἐν αὐτῷ.
1Ch 16:33	τότε εὐφρανθήσεται τὰ ξύλα τοῦ δρυμοῦ ἀπὸ προσώπου Κυρίου, ὅτι ἦλθεν κρῖναι τὴν γῆν.
1Ch 16:34	ἐξομολογεῖσθε τῷ κυρίῳ, ὅτι ἀγαθόν, ὅτι εἰς τὸν αἰῶνα τὸ ἔλεος αὐτοῦ.
1Ch 16:35	καὶ εἴπατε Ἔσωσεν ἡμᾶς ὁ θεὸς τῆς σωτηρίας ἡμῶν· καὶ ἐξελοῦ ἡμᾶς ἐκ τῶν ἐθνῶν, τοῦ αἰνεῖν τὸ ὄνομα τὸ ἅγιόν σου καὶ καυχᾶσθαι ἐν ταῖς αἰνέσεσίν σου.
1Ch 16:36	εὐλογημένος Κύριος ὁ θεὸς Ἰσραὴλ ἀπὸ τοῦ αἰῶνος. καὶ ἐρεῖ πᾶς ὁ λαός Ἀμήν. Καὶ ᾔνεσαν τῷ κυρίῳ.
1Ch 16:37	Καὶ κατέλιπον ἐκεῖ ἔναντι τῆς κιβωτοῦ διαθήκης Κυρίου τὸν Ἀσὰφ καὶ τοὺς ἀδελφοὺς αὐτοῦ τοῦ λειτουργεῖν ἐναντὶον τῆς κιβωτοῦ διὰ παντὸς τὸ τῆς ἡμέρας εἰς ἡμέραν.
1Ch 16:38	καὶ Ἀβδοδὸμ καὶ οἱ ἀδελφοὶ αὐτοῦ ἑξήκοντα καὶ ὀκτώ· καὶ Ἀβδοδὸμ υἱὸς Ἰδειθὼν καὶ Ὁσσὰ εἰς πυλωρούς·
1Ch 16:39	καὶ τὸν Σαδὼκ τὸν ἱερέα καὶ τοὺς ἀδελφοὺς αὐτοῦ τοὺς ἱερεῖς ἐναντίον τῆς σκηνῆς Κυρίου ἐν Βαμὰ τῇ ἐν Γαβαών,
1Ch 16:40	τοῦ ἀναφέρειν ὁλοκαυτώματα τῷ κυρίῳ ἐπὶ τοῦ θυσιαστηρίου τῶν ὁλοκαυτωμάτων διὰ παντὸς τὸ πρωὶ καὶ τὸ ἑσπέρας, καὶ κατὰ πάντα τὰ γεγραμμένα ἐν νόμῳ Κυρίου ὅσα ἐνετείλατο ἐφ᾽ υἱοῖς Ἰσραὴλ ἐν χειρὶ Μωυσῆ τοῦ θεράποντος τοῦ θεοῦ.
1Ch 16:41	καὶ μετ᾽ αὐτοῦ Αἱμὰν καὶ Ἰδειθὼν καὶ οἱ λοιποὶ ἐκλεγέντες ἐπ᾽ ὀνόματος τοῦ αἰνεῖν τὸν κύριον, Ὅτι εἰς τὸν αἰῶνα τὸ ἔλεος αὐτοῦ·
1Ch 16:42	καὶ μετ᾽ αὐτῶν σάλπιγγες καὶ κύμβαλα τοῦ ἀναφωνεῖν καὶ ὄργανα τῶν ᾠδῶν τοῦ θεοῦ· υἱοὶ Ἰδειθὼν εἰς τὴν πύλην.
1Ch 16:43	καὶ ἐπορεύθη ἅπας ὁ λαὸς ἕκαστος εἰς τὸν οἶκον αὐτοῦ, καὶ ἐπέστρεψεν Δαυεὶδ τοῦ εὐλογῆσαι τὸν οἶκον αὐτοῦ.
1Ch 17:1	Καὶ ἐγένετο ὡς κατῴκησεν Δαυεὶδ ἐν οἴκῳ αὐτοῦ, καὶ εἶπεν Δαυεὶδ πρὸς Ναθὰν τὸν προφήτην Ἰδοὺ ἐγὼ κατοικῶ ἐν οἴκῳ κεδρίνῳ, καὶ ἡ κιβωτὸς διαθήκης Κυρίου ὑποκάτω δέρρεων.
1Ch 17:2	καὶ εἶπεν Ναθὰν πρὸς Δαυείδ Πᾶν τὸ ἐν ψυχῇ σου ποίει, ὅτι θεὸς μετὰ σοῦ.
1Ch 17:3	Καὶ ἐγένετο ἐν τῇ νυκτὶ ἐκείνῃ καὶ ἐγένετο λόγος Κυρίου πρὸς Ναθάν
1Ch 17:4	Πορεύου καὶ εἰπὸν πρὸς Δαυεὶδ τὸν δοῦλόν μου Οὕτως εἶπεν Κύριος Οὐ σὺ οἰκοδομήσεις οἶκον τοῦ κατοικῆσαί με ἐν αὐτῷ.
1Ch 17:5	ὅτι οὐ κατῴκησα ἐν οἴκῳ ἀπὸ τῆς ἡμέρας ἧς ἀνήγαγον τὸν Ἰσραὴλ ἕως τῆς ἡμέρας ταύτης, καὶ ἤμην ἐν σκηνῇ καὶ ἐν καλύμματι
1Ch 17:6	ἐν πᾶσιν οἷς διῆλθον ἐν παντὶ Ἰσραήλ· εἰ λαλῶν ἐλάλησα πρὸς μίαν φυλὴν τοῦ Ἰσραὴλ τοῦ ποιμαίνειν τὸν λαόν μου λέγων Ὅτι οὐκ ᾠκοδομήκατέ μοι οἶκον κέδρινον;
1Ch 17:7	καὶ νῦν οὕτως ἐρεῖς τῷ δούλῳ μου Δαυεὶδ Τάδε λέγει Κύριος Παντοκράτωρ Ἔλαβόν σε ἐκ τῆς μάνδρας ἐξόπισθεν τῶν ποιμνίων τοῦ εἶναι εἰς ἡγούμενον ἐπὶ τὸν λαόν μου Ἰσραήλ,
1Ch 17:8	καὶ ἤμην μετὰ σοῦ ἐν πᾶσιν οἷς ἐπορεύθης, καὶ ἐξωλέθρευσα πάντας τοὺς ἐχθρούς σου ἀπὸ προσώπου σου, καὶ ἐποίησά σοι ὄνομα κατὰ τὸ ὄνομα τῶν μεγάλων τῶν ἐπὶ τῆς γῆς.
1Ch 17:9	καὶ θήσομαι τόπον τῷ λαῷ μου Ἰσραὴλ καὶ καταφυτεύσω αὐτόν, καὶ κατασκηνώσει καθ᾽ ἑαυτὸν καὶ οὐ μεριμνήσει ἔτι, καὶ οὐ προσθήσει ἀδικία τοῦ ταπεινῶσαι αὐτὸν καθὼς ἀρχῆς.
1Ch 17:10	καὶ ἀφ᾽ ἡμερῶν ὧν ἔταξα κριτὰς ἐπὶ τὸν λαόν μου Ἰσραήλ, καὶ ἐταπείνωσα ἅπαντας τοὺς ἐχθρούς σου, καὶ αὐξήσω σε· καὶ οἰκοδομήσει σε Κύριος.
1Ch 17:11	καὶ ἔσται ὅταν πληρωθῶσιν ἡμέραι σου καὶ κοιμηθήσῃ μετὰ τῶν πατέρων σου, καὶ ἀναστήσω τὸ σπέρμα σου μετὰ σέ, ὃ ἔσται ἐκ τῆς κοιλίας σου, καὶ ἑτοιμάσω τὴν βασιλείαν αὐτοῦ·
1Ch 17:12	αὐτὸς οἰκοδομήσει μοι οἶκον, καὶ ἀνορθώσω τὸν θρόνον αὐτοῦ ἕως αἰῶνος.
1Ch 17:13	ἐγὼ ἔσομαι αὐτῷ εἰς πατέρα καὶ αὐτὸς ἔσται μοι εἰς υἱόν, καὶ τὸ ἔλεός μου οὐκ ἀποστήσω ἀπ᾽ αὐτοῦ ὡς ἀπέστησα ἀπὸ τῶν ὄντων ἔμπροσθέν σου.
1Ch 17:14	καὶ πιστώσω αὐτὸν ἐν οἴκῳ μου καὶ ἐν βασιλείᾳ αὐτοῦ ἕως αἰῶνος, καὶ θρόνος αὐτοῦ ἔσται ἀνωρθωμένος ἕως αἰῶνος.
1Ch 17:15	κατὰ πάντας τοὺς λόγους τούτους καὶ κατὰ πᾶσαν τὴν ὅρασιν ταύτην, οὕτως ἐλάλησεν Ναθὰν πρὸς Δαυείδ.
1Ch 17:16	Καὶ ἦλθεν ὁ βασιλεὺς Δαυεὶδ καὶ ἐκάθισεν ἀπέναντι Κυρίου, καὶ εἶπεν Τίς εἰμι ἐγώ, Κύριε ὁ θεός, καὶ τίς ὁ οἶκός μου, ὅτι ἠγάπησάς με ἕως αἰῶνος;
1Ch 17:17	καὶ ἐσμικρύνθη ταῦτα ἐνώπιόν σου ὁ θεός, καὶ ἐλάλησας ἐπὶ τὸν οἶκον τοῦ παιδός σου ἐκ μακρῶν, καὶ ἐπεῖδές με ὡς ὅρασις ἀνθρώπου καὶ ὕψωσάς με, Κύριε ὁ θεός.
1Ch 17:18	τί προσθήσει ἔτι Δαυεὶδ πρὸς σὲ τοῦ δοξάσαι; καὶ σὺ τὸν δοῦλόν σου οἶδας,
1Ch 17:19	καὶ κατὰ τὴν καρδίαν σου ἐποίησας τὴν πᾶσαν μεγαλωσύνην.
1Ch 17:20	Κύριε, οὐκ ἔστιν ὅμοιός σοι, καὶ οὐκ ἔστιν πλὴν σοῦ κατὰ πάντα ὅσα ἠκούσαμεν ἐν ὠσὶν ἡμῶν.
1Ch 17:21	καὶ οὐκ ἔστιν ὡς ὁ λαός σου Ἰσραὴλ ἔθνος ἔτι ἐπὶ τῆς γῆς, ὡς ὡδήγησεν αὐτὸν ὁ θεὸς τοῦ λυτρώσασθαι ἑαυτῷ λαόν, τοῦ θέσθαι αὐτῷ ὄνομα μέγα καὶ ἐπιφανές, τοῦ ἐκβαλεῖν ἀπὸ προσώπου λαοῦ σου οὓς ἐλυτρώσω ἐξ Αἰγύπτου ἔθνη.
1Ch 17:22	καὶ ἔδωκας τὸν λαόν σου Ἰσραὴλ σεαυτῷ λαὸν ἕως αἰῶνος, καὶ σὺ Κύριος αὐτοῖς εἰς θεόν.
1Ch 17:23	καὶ νῦν, Κύριε, ὁ λόγος σου ὃν ἐλάλησας πρὸς τὸν παῖδά σου καὶ ἐπὶ τὸν οἶκον αὐτοῦ πιστωθήτω ἕως αἰῶνος,
1Ch 17:24	λεγόντων Κύριε Κύριε Παντοκράτωρ θεὸς Ἰσραήλ· καὶ οἶκος Δαυεὶδ παιδός σου ἀνωρθωμένος ἐναντίον σου.
1Ch 17:25	ὅτι σὺ ἤνοιξας τὸ οὖς τοῦ παιδός σου τοῦ οἰκοδομῆσαι αὐτῷ οἶκον· διὰ τοῦτο εὗρεν ὁ παῖς σου τοῦ προσεύξασθαι κατὰ πρόσωπόν σου.
1Ch 17:26	καὶ νῦν, Κύριε, σὺ εἶ αὐτὸς θεός, καὶ ἐλάλησας ἐπὶ τὸν δοῦλόν σου τὰ ἀγαθὰ ταῦτα.
1Ch 17:27	καὶ νῦν ἦρξαι εὐλογῆσαι τὸν οἶκον τοῦ παιδός σου τοῦ εἶναι εἰς τὸν αἰῶνα ἐναντίον σου· ὅτι σὺ εὐλόγησας, καὶ εὐλόγησον εἰς τὸν αἰῶνα.
1Ch 18:1	Καὶ ἐγένετο μετὰ ταῦτα καὶ ἐπάταξεν Δαυεὶδ τοὺς ἀλλοφύλους καὶ ἐτροπώσατο αὐτούς, καὶ ἔλαβεν τὴν Γὲθ καὶ τὰς κώμας αὐτῆς ἐκ χειρὸς ἀλλοφύλων.
