Lev 1:1	ΚΑΙ ἀνεκάλεσεν Μωυσῆν καὶ ἐλάλησεν Κύριος αὐτῷ ἐκ τῆς σκηνῆς τοῦ μαρτυρίου λέγων
Lev 15:11	καὶ ὅσων ἐὰν ἅψηται ὁ γονορρυὴς καὶ τὰς χεῖρας οὐ νένιπται, πλυνεῖ τὰ ἱμάτια καὶ λούσεται τὸ σῶμα ὕδατι, καὶ ἀκάθαρτος ἔσται ἕως ἑσπέρας.
Lev 15:12	καὶ σκεῦος ὀστράκινον οὗ ἂν ἅψηται ὁ γονορρυὴς συντριβήσεται· καὶ σκεῦος ξύλινον νιφήσεται ὕδατι, καὶ καθαρὸν ἔσται.
Lev 15:13	ἐὰν δὲ καθαρισθῇ ὁ γονορρυὴς ἐκ τῆς ῥύσεως αὐτοῦ, καὶ ἐξαριθμήσεται αὐτῷ ἑπτὰ ἡμέρας εἰς τὸν καθαρισμόν, καὶ πλυνεῖ τὰ ἱμάτια αὐτοῦ καὶ λούσεται τὸ σῶμα ὕδατι, καὶ καθαρὸς ἔσται.
Lev 15:14	καὶ τῇ ἡμέρᾳ τῇ ὀγδόῃ λήμψεται ἑαυτῷ δύο τρυγόνας ἢ δύο νοσσοὺς περιστερῶν καὶ οἴσει αὐτὰ ἔναντι Κυρίου ἐπὶ τὰς θύρας τῆς σκηνῆς τοῦ μαρτυρίου, καὶ δώσει αὐτὰ τῷ ἱερεῖ·
Lev 15:15	καὶ ποιήσει αὐτὰ ὁ ἱερεὺς μίαν περὶ ἁμαρτίας καὶ μίαν εἰς ὁλοκαύτωμα, καὶ ἐξιλάσεται περὶ αὐτοῦ ὁ ἱερεὺς ἔναντι Κυρίου ἀπὸ τῆς ῥύσεως αὐτοῦ.
Lev 15:16	Καὶ ἄνθρωπος ᾧ ἐὰν ἐξέλθῃ ἐξ αὐτοῦ κοίτη σπέρματος, καὶ λούσεται ὕδατι πᾶν τὸ σῶμα αὐτοῦ καὶ ἀκάθαρτος ἔσται ἕως ἑσπέρας·
Lev 15:17	καὶ πᾶν ἱμάτιον καὶ πᾶν δέρμα ἐφ᾽ ὃ ἐὰν ᾖ ἐπ᾽ αὐτὸ κοίτη σπέρματος, καὶ πλυθήσεται ὕδατι καὶ ἀκάθαρτον ἔσται ἕως ἑσπέρας.
Lev 15:18	καὶ γυνή, ἐὰν κοιμηθῇ ἀνὴρ μετ᾽ αὐτῆς κοίτην σπέρματος, καὶ λούσονται ὕδατι καὶ ἀκάθαρτοι ἔσονται ἕως ἑσπέρας.
Lev 15:19	Καὶ γυνὴ ἥτις ἐὰν ᾖ ῥέουσα αἵματι, ἔσται ἡ ῥύσις αὐτῆς ἐν τῷ σώματι αὐτῆς, ἑπτά ἡμέρας ἔσται ἐν τῇ ἀφέδρῳ αὐτῆς· πᾶς ὁ ἁπτόμενος αὐτῆς ἀκάθαρτος ἔσται ἕως ἑσπέρας,
Lev 15:20	καὶ πᾶν ἐφ᾽ ὃ ἂν κοιτάζηται ἐπ᾽ αὐτὸ ἐν τῇ ἀφέδρῳ αὐτῆς ἀκάθαρτον ἔσται, καὶ πᾶν ἐφ᾽ ὃ ἂν ἐπικαθίσῃ ἐπ᾽ αὐτὸ ἀκάθαρτον ἔσται.
Lev 15:21	καὶ πᾶς ὃς ἐὰν ἅψηται τῆς κοίτης αὐτῆς πλυνεῖ τὰ ἱμάτια αὐτοῦ καὶ λούσεται τὸ σῶμα αὐτοῦ ὕδατι, καὶ ἀκάθαρτος ἔσται ἕως ἑσπέρας.
Lev 15:22	καὶ πᾶς ὁ ἁπτόμενος παντὸς σκεύους οὗ ἐὰν καθίσῃ ἐπ᾽ αὐτὸ πλυνεῖ τὰ ἱμάτια αὐτοῦ καὶ λούσεται ὕδατι, καὶ ἀκάθαρτος ἔσται ἕως ἑσπέρας.
Lev 15:23	ἐὰν δὲ ἐν τῇ κοίτῃ αὐτῆς οὔσης ἢ ἐπὶ τοῦ σκεύους οὗ ἐὰν καθίσῃ ἐπ᾽ αὐτῷ ἐν τῷ ἅπτεσθαι αὐτὸν αὐτῆς, ἀκάθαρτον ἔσται ἕως ἑσπέρας.
Lev 15:24	ἐὰν δὲ κοίτῃ τις κοιμηθῇ μετ᾽ αὐτῆς, καὶ γένηται ἡ ἀκαθαρσία αὐτῆς ἐπ᾽ αὐτῷ, καὶ ἀκάθαρτος ἔσται ἑπτὰ ἡμέρας· καὶ πᾶσα κοίτη ἐφ᾽ ᾗ ἂν κοιμηθῇ ἐπ᾽ αὐτῆς ἀκάθαρτος ἔσται.
Lev 15:25	Καὶ γυνὴ ἐὰν ῥέῃ ῥύσει αἵματος ἡμέρας πλείους οὐκ ἐν καιρῷ τῆς ἀφέδρου αὐτῆς, ἐὰν καὶ ῥέῃ μετὰ τὴν ἄφεδρον αὐτῆς, πᾶσαι αἱ ἡμέραι ῥύσεως ἀκαθαρσίας αὐτῆς καθάπερ αἱ ἡμέραι τῆς ἀφέδρου, ἀκάθαρτος ἔσται.
Lev 15:26	καὶ πᾶσαν κοίτην ἐφ᾽ ἣν ἂν κοιμηθῇ ἐπ᾽ αὐτῆς πάσας τὰς ἡμέρας τῆς ῥύσεως κατὰ τὴν κοίτην τῆς ἀφέδρου ἔσται αὐτῇ, καὶ πᾶν σκεῦος ἐφ᾽ ὃ ἐὰν καθίσῃ ἐπ᾽ αὐτὸ ἀκάθαρτον ἔσται κατὰ τὴν ἀκαθαρσίαν τῆς ἀφέδρου.
Lev 15:27	πᾶς ὁ ἁπτόμενος αὐτῆς ἀκάθαρτος ἔσται, καὶ πλυνεῖ τὰ ἱμάτια καὶ λούσεται τὸ σῶμα ὕδατι, καὶ ἀκάθαρτος ἔσται ἕως ἑσπέρας.
Lev 15:28	ἐὰν δὲ καθαρισθῇ ἀπὸ τῆς ῥύσεως, καὶ ἐξαριθμήσεται αὐτῇ ἑπτὰ ἡμέρας, καὶ μετὰ ταῦτα καθαρισθήσεται.
Lev 15:29	καὶ τῇ ἡμέρᾳ τῇ ὀγδόῃ λήμψεται αὑτῇ δύο τρυγόνας ἢ δύο νοσσοὺς περιστερῶν, καὶ οἴσει αὐτὰ πρὸς τὸν ἱερέα ἐπὶ τὴν θύραν τῆς σκηνῆς τοῦ μαρτυρίου·
Lev 15:30	καὶ ποιήσει ὁ ἱερεὺς τὴν μίαν περὶ ἁμαρτίας καὶ τὴν μίαν εἰς ὁλοκαύτωμα, καὶ ἐξιλάσεται περὶ αὐτῆς ὁ ἱερεὺς ἔναντι Κυρίου ἀπὸ ῥύσεως ἀκαθαρσίας αὐτῆς.
Lev 15:31	Καὶ εὐλαβεῖς ποιήσετε τοὺς υἱοὺς Ἰσραὴλ ἀπὸ τῶν ἀκαθαρσιῶν αὐτῶν, καὶ οὐκ ἀποθανοῦνται διὰ τὴν ἀκαθαρσίαν αὐτῶν, ἐν τῷ μιαίνειν αὐτοὺς τὴν σκηνήν μου τὴν ἐν αὐτοῖς.
Lev 15:32	οὗτος ὁ νόμος τοῦ γονορρυοῦς, καὶ ἐάν τινι ἐξέλθῃ ἐξ αὐτοῦ κοίτη σπέρματος ὥστε μιανθῆναι ἐν αὐτῇ·
Lev 15:33	καὶ τῇ αἱμορροούσῃ ἐν τῇ ἀφέδρῳ αὐτῆς, καὶ ὁ γονορρυὴς ἐν τῇ ῥύσει αὐτοῦ, τῷ ἄρσενι ἢ τῇ θηλείᾳ, καὶ τῷ ἀνδρὶ ὃς ἂν κοιμηθῇ μετὰ ἀποκαθημένης.
Lev 16:1	Καὶ ἐλάλησεν Κύριος πρὸς Μωυσῆν μετὰ τὸ τελευτῆσαι τοὺς δύο υἱοὺς Ἀαρὼν ἐν τῷ προσάγειν αὐτοὺς πῦρ ἀλλότριον ἔναντι Κυρίου, καὶ ἐτελεύτησαν·
Lev 16:2	καὶ εἶπεν Κύριος πρὸς Μωυσῆν Λάλησον πρὸς Ἀαρὼν τὸν ἀδελφόν σου, καὶ μὴ εἰσπορευέσθω πᾶσαν ὥραν εἰς τὸ ἅγιον ἐσώτερον τοῦ καταπετάσματος εἰς πρόσωπον τοῦ ἱλαστηρίου, ὅ ἐστιν ἐπὶ τῆς κιβωτοῦ τοῦ μαρτυρίου, καὶ οὐκ ἀποθανεῖται· ἐν γὰρ νεφέλῃ ὀφθήσομαι ἐπὶ τοῦ ἱλαστηρίου.
Lev 16:3	οὕτως εἰσελεύσεται Ἀαρὼν εἰς τὸ ἅγιον· ἐν μόσχῳ ἐκ βοῶν περὶ ἁμαρτίας, καὶ κριὸν εἰς ὁλοκαύτωμα.
Lev 16:4	καὶ χιτῶνα λινοῦν ἡγιασμένον ἐνδύσεται, καὶ περισκελὲς λινοῦν ἔσται ἐπὶ τοῦ χρωτὸς αὐτοῦ, καὶ ζώνῃ λινῇ ζώσεται, καὶ κίδαριν λινῆν περιθήσεται· ἱμάτια ἅγιά ἐστιν, καὶ λούσεται ὕδατι πᾶν τὸ σῶμα αὐτοῦ καὶ ἐνδύσεται αὐτά.
Lev 16:5	καὶ παρὰ τῆς συναγωγῆς τῶν υἱῶν Ἰσραὴλ λήμψεται δύο χιμάρους ἐξ αἰγῶν περὶ ἁμαρτίας καὶ κριὸν ἕνα εἰς ὁλοκαύτωμα.
Lev 16:6	καὶ προσάξει Ἀαρὼν τὸν μόσχον τὸν περὶ τῆς ἁμαρτίας αὐτοῦ, καὶ ἐξιλάσεται περὶ αὐτοῦ καὶ τοῦ οἴκου αὐτοῦ.
Lev 16:7	καὶ λήμψεται τοὺς δύο χιμάρους καὶ στήσει αὐτοὺς ἔναντι Κυρίου παρὰ τὴν θύραν τῆς σκηνῆς τοῦ μαρτυρίου·
Lev 16:8	καὶ ἐπιθήσει Ἀαρὼν ἐπὶ τοὺς δύο χιμάρους κλῆρον ἕνα τῷ κυρίῳ καὶ κλῆρον ἕνα τῷ ἀποπομπαίῳ.
Lev 16:9	καὶ προσάξει Ἀαρὼν τὸν χίμαρον ἐφ᾽ ὃν ἐπῆλθεν ἐπ᾽ αὐτὸν ὁ κλῆρος τῷ κυρίῳ, καὶ προσοίσει περὶ ἁμαρτίας·
Lev 16:10	καὶ τὸν χίμαρον ἐφ᾽ ὃν ἐπῆλθεν ἐπ᾽ αὐτὸν ὁ κλῆρος τοῦ ἀποπομπαίου, στήσει αὐτὸν ἔναντι Κυρίου ζῶντα τοῦ ἐξιλάσασθαι ἐπ᾽ αὐτοῦ, ὥστε ἀποστεῖλαι αὐτὸν εἰς τὴν ἀποπομπήν· ἀφήσει αὐτὸν εἰς τὴν ἔρημον.
Lev 16:11	καὶ προσάξει Ἀαρὼν τὸν μόσχον τὸν περὶ τῆς ἁμαρτίας τὸν αὑτοῦ καὶ τοῦ οἴκου αὐτοῦ μόνον, καὶ ἐξιλάσεται περὶ αὑτοῦ καὶ τοῦ οἴκου αὐτοῦ, καὶ σφάξει τὸν μόσχον τὸν περὶ τῆς ἁμαρτίας τὸν αὑτοῦ.
Lev 16:12	καὶ λήμψεται τὸ πυρεῖον πλῆρες ἀνθράκων πυρὸς ἀπὸ τοῦ θυσιαστηρίου τοῦ ἀπέναντι Κυρίου, καὶ πλήσει τὰς χεῖρας θυμιάματος συνθέσεως λεπτῆς καὶ εἰσοίσει ἐσώτερον τοῦ καταπετάσματος,
Lev 16:13	καὶ ἐπιθήσει τὸ θυμίαμα ἐπὶ τὸ πῦρ ἔναντι Κυρίου· καὶ καλύψει ἡ ἀτμίς τοῦ θυμιάματος τὸ ἱλαστήριον τὸ ἐπὶ τῶν μαρτυρίων, καὶ οὐκ ἀποθανεῖται.
Lev 16:14	καὶ λήμψεται ἀπὸ τοῦ αἵματος τοῦ μόσχου καὶ ῥανεῖ τῷ δακτύλῳ ἐπὶ τὸ ἱλαστήριον κατὰ ἀνατολάς· κατὰ πρόσωπον τοῦ ἱλαστηρίου ῥανεῖ ἑπτάκις ἀπὸ τοῦ αἵματος τῷ δακτύλῳ.
Lev 16:15	καὶ σφάξει τὸν χίμαρον τὸν περὶ τῆς ἁμαρτίας τὸν περὶ τοῦ λαοῦ ἔναντι Κυρίου, καὶ εἰσοίσει ἀπὸ τοῦ αἵματος αὐτοῦ ἐσώτερον τοῦ καταπετάσματος, καὶ ποιήσει τὸ αἷμα αὐτοῦ ὃν τρόπον ἐποίησεν τὸ αἷμα τοῦ μόσχου, καὶ ῥανεῖ τὸ αἷμα αὐτοῦ ἐπὶ τὸ ἱλαστήριον κατὰ πρόσωπον τοῦ ἱλαστηρίου,
Lev 16:16	καὶ ἐξιλάσεται τὸ ἅγιον ἀπὸ τῶν ἀκαθαρσιῶν τῶν υἱῶν Ἰσραὴλ καὶ ἀπὸ τῶν ἀδικημάτων αὐτῶν περὶ πασῶν τῶν ἁμαρτιῶν αὐτῶν· καὶ οὕτω ποιήσει τῇ σκηνῇ τοῦ μαρτυρίου τῇ ἐκτισμένῃ ἐν αὐτοῖς ἐν μέσῳ τῆς ἀκαθαρσίας αὐτῶν.
Lev 16:17	καὶ πᾶς ἄνθρωπος οὐκ ἔσται ἐν τῇ σκηνῇ τοῦ μαρτυρίου, εἰσπορευομένου αὐτοῦ ἐξιλάσασθαι ἐν τῷ ἁγίῳ, ἕως ἂν ἐξέλθῃ· καὶ ἐξιλάσεται περὶ αὑτοῦ καὶ τοῦ οἴκου αὐτοῦ, καὶ περὶ πάσης συναγωγῆς υἱῶν Ἰσραήλ.
Lev 16:18	καὶ ἐξελεύσεται ἐπὶ τὸ θυσιαστήριον τὸ ὂν ἀπέναντι Κυρίου καὶ ἐξιλάσεται ἐπ᾽ αὐτοῦ· καὶ λήμψεται ἀπὸ τοῦ αἵματος τοῦ μόσχου καὶ ἀπὸ τοῦ αἵματος τοῦ χιμάρου καὶ ἐπιθήσει ἐπὶ τὰ κέρατα τοῦ θυσιαστηρίου κύκλῳ,
Lev 16:19	καὶ ῥανεῖ ἐπ᾽ αὐτοῦ ἀπὸ τοῦ αἵματος τῷ δακτύλῳ ἑπτάκις καὶ καθαριεῖ αὐτό, καὶ ἁγιάσει αὐτὸ ἀπὸ τῶν ἀκαθαρσιῶν τῶν υἱῶν Ἰσραήλ.
Lev 16:20	καὶ συντελέσει ἐξιλασκόμενος τὸ ἅγιον καὶ τὴν σκηνὴν τοῦ μαρτυρίου καὶ τὸ θυσιαστήριον, καὶ περὶ τῶν ἱερέων καθαριεῖ· καὶ προσάξει τὸν χίμαρον τὸν ζῶντα.
Lev 16:21	καὶ ἐπιθήσει Ἀαρὼν τὰς χεῖρας αὐτοῦ ἐπὶ τὴν κεφαλὴν τοῦ χιμάρου τοῦ ζῶντος, καὶ ἐξαγορευσει ἐπ᾽ αὐτοῦ πάσας τὰς ἀνομίας τῶν υἱῶν Ἰσραὴλ καὶ πάσας τὰς ἀδικίας αὐτῶν καὶ πάσας τὰς ἁμαρτίας αὐτῶν, καὶ ἐπιθήσει αὐτὰς ἐπὶ τὴν κεφαλὴν τοῦ χιμάρου τοῦ ζῶντος, καὶ ἐξαποστελεῖ ἐν χειρὶ ἀνθρώπου ἑτοίμου εἰς τὴν ἔρημον·
Lev 16:22	καὶ λήμψεται ὁ χίμαρος ἐφ᾽ ἑαυτῷ τὰς ἀδικίας αὐτῶν εἰς γῆν ἄβατον, καὶ ἐξαποστελεῖ τὸν χίμαρον εἰς τὴν ἔρημον.
Lev 16:23	καὶ εἰσελεύσεται Ἀαρὼν εἰς τὴν σκηνὴν τοῦ μαρτυρίου, καὶ ἐκδύσεται τὴν στολὴν τὴν λινῆν ἣν ἐνδεδύκει εἰσπορευομένου αὐτοῦ εἰς τὸ ἅγιον, καὶ ἀποθήσει αὐτὴν ἐκεῖ.
Lev 16:24	καὶ λούσεται τὸ σῶμα αὐτοῦ ὕδατι ἐν τόπῳ ἁγίῳ καὶ ἐνδύσεται τὴν στολὴν αὐτοῦ, καὶ ἐξελθὼν ποιήσει τὸ ὁλοκάρπωμα αὐτοῦ καὶ τὸ ὁλοκάρπωμα τοῦ λαοῦ, καὶ ἐξιλάσεται περὶ αὑτοῦ καὶ περὶ τοῦ οἴκου αὐτοῦ καὶ περὶ τοῦ λαοῦ ὡς περὶ τῶν ἱερέων.
Lev 16:25	καὶ τὸ στέαρ τὸ περὶ τῶν ἁμαρτιῶν ἀνοίσει ἐπὶ τὸ θυσιαστήριον.
Lev 16:26	καὶ ὁ ἐξαποστέλλων τὸν χίμαρον τὸν διεσταλμένον εἰς ἄφεσιν πλυνεῖ τὰ ἱμάτια καὶ λούσεται τὸ σῶμα αὐτοῦ ὕδατι, καὶ μετὰ ταῦτα εἰσελεύσεται εἰς τὴν παρεμβολήν.
Lev 16:27	καὶ τὸν μόσχον τὸν περὶ τῆς ἁμαρτίας καὶ τὸν χίμαρον τὸν περὶ τῆς ἁμαρτίας, ὧν τὸ αἷμα εἰσηνέχθη ἐξιλάσασθαι ἐν τῷ ἁγίῳ, ἐξοίσουσιν αὐτὰ ἔξω τῆς παρεμβολῆς, καὶ κατακαύσουσιν αὐτὰ ἐν πυρί, καὶ τὰ δέρματα αὐτῶν καὶ τὰ κρέα αὐτῶν καὶ τὴν κόπρον αὐτῶν.
Lev 16:28	ὁ δὲ κατακαίων αὐτὰ πλυνεῖ τὰ ἱμάτια καὶ λούσεται τὸ σῶμα αὐτοῦ ὕδατι, καὶ μετὰ ταῦτα εἰσελεύσεται εἰς τὴν παρεμβολήν.
Lev 16:29	Καὶ ἔσται τοῦτο ὑμῖν νόμιμον αἰώνιον· ἐν τῷ μηνὶ τῷ ἑβδόμῳ ταπεινώσατε τὰς ψυχὰς ὑμῶν καὶ πᾶν ἔργον οὐ ποιήσετε, ὁ αὐτόχθων καὶ ὁ προσήλυτος ὁ προσκείμενος ἐν ὑμῖν.
Lev 16:30	ἐν γὰρ τῇ ἡμέρᾳ ταύτῃ ἐξιλάσεται περὶ ὑμῶν, καθαρίσαι ὑμᾶς ἀπὸ πασῶν τῶν ἁμαρτιῶν ὑμῶν ἔναντι Κυρίου· καὶ καθαρισθήσεσθε.
Lev 16:31	σάββατα σαββάτων ἀνάπαυσις αὕτη ἔσται ὑμῖν, καὶ ταπεινώσετε τὰς ψυχὰς ὑμῶν· νόμιμον αἰώνιον.
Lev 16:32	ἐξιλάσεται ὁ ἱερεύς, ὃν ἂν χρίσωσιν αὐτὸν καὶ ὃν ἂν τελειώσουσιν τὰς χεῖρας αὐτοῦ ἱερατεύειν μετὰ τὸν πατέρα αὐτοῦ, καὶ ἐνδύσεται τὴν στολὴν τὴν λινῆν, στολὴν ἁγίαν·
Lev 16:33	καὶ ἐξιλάσεται τὸ ἅγιον τοῦ ἁγίου, καὶ τὴν σκηνὴν τοῦ μαρτυρίου καὶ τὸ θυσιαστήριον ἐξιλάσεται, καὶ περὶ τῶν ἱερέων καὶ περὶ πάσης συναγωγῆς ἐξιλάσεται.
Lev 16:34	καὶ ἔσται τοῦτο ὑμῖν νόμιμον αἰώνιον ἐξιλάσκεσθαι περὶ τῶν υἱῶν Ἰσραὴλ ἀπὸ πασῶν τῶν ἁμαρτιῶν αὐτῶν· ἅπαξ τοῦ ἐνιαυτοῦ ποιηθήσεται, καθὰ συνέταξεν Κύριος τῷ Μωυσῇ.
Lev 17:1	Καὶ ἐλάλησεν Κύριος πρὸς Μωυσῆν λέγων
Lev 17:2	Λάλησον πρὸς Ἀαρὼν καὶ πρὸς τοὺς υἱοὺς αὐτοῦ καὶ πρὸς πάντας υἱοὺς Ἰσραὴλ καὶ ἐρεῖς πρὸς αὐτούς Τοῦτο τὸ ῥῆμα ὃ ἐνετείλατο Κύριος λέγων
Lev 17:3	Ἄνθρωπος ἄνθρωπος τῶν υἱῶν Ἰσραὴλ ἢ τῶν προσηλύτων ἢ τῶν προσκειμένων ἐν ὑμῖν ὃς ἂν σφάξῃ μόσχον ἢ πρόβατον ἢ αἶγα ἐν τῇ παρεμβολῇ καὶ ὃς ἂν σφάξῃ ἔξω τῆς παρεμβολῆς
Lev 17:4	καὶ ἐπὶ τὴν θύραν τῆς σκηνῆς τοῦ μαρτυρίου μὴ ἐνέγκῃ ὥστε ποιῆσαι αὐτὸ εἰς ὁλοκαύτωμα ἢ σωτήριον Κυρίῳ δεκτὸν εἰς ὀσμὴν εὐωδίας, καὶ ὃς ἂν σφάξῃ ἔξω καὶ ἐπὶ τὴν θύραν τῆς σκηνῆς τοῦ μαρτυρίου μὴ ἐνέγκῃ αὐτὸ ὥστε μὴ προσενέγκαι δῶρον Κυρίῳ ἀπέναντι τῆς σκηνῆς Κυρίου, καὶ λογισθήσεται τῷ ἀνθρώπῳ ἐκείνῳ αἷμα· αἷμα ἐξέχεεν, ἐξολεθρευθήσεται ἡ ψυχὴ ἐκείνη ἐκ τοῦ λαοῦ αὐτῆς.
Lev 17:5	ὅπως ἀναφέρωσιν οἱ υἱοὶ Ἰσραὴλ τὰς θυσίας αὐτῶν ὅσας ἂν αὐτοὶ σφάξουσιν ἐν τοῖς πεδίοις, καὶ οἴσουσιν τῷ κυρίῳ ἐπὶ τὰς θύρας τῆς σκηνῆς τοῦ μαρτυρίου πρὸς τὸν ἱερέα, καὶ θύσουσιν θυσίαν σωτηρίου τῷ κυρίῳ αὐτά·
Lev 17:6	καὶ προσχεεῖ ὁ ἱερεὺς τὸ αἷμα ἐπὶ τὸ θυσιαστήριον κύκλῳ ἀπέναντι Κυρίου παρὰ τὰς θύρας τῆς σκηνῆς τοῦ μαρτυρίου, καὶ ἀνοίσει τὸ στέαρ εἰς ὀσμὴν εὐωδίας Κυρίῳ·
Lev 17:7	καὶ οὐ θύσουσιν ἔτι τὰς θυσίας αὐτῶν τοῖς ματαίοις, οἷς αὐτοὶ ἐκπορνεύουσιν ὀπίσω αὐτῶν· νόμιμον αἰώνιον ἔσται ὑμῖν εἰς τὰς γενεὰς ὑμῶν.
Lev 17:8	Καὶ ἐρεῖς πρὸς αὐτούς Ἄνθρωπος ἄνθρωπος τῶν υἱῶν Ἰσραὴλ καὶ ἀπὸ τῶν υἱῶν τῶν προσηλύτων τῶν προσκειμένων ἐν ὑμῖν ὃς ἂν ποιήσῃ ὁλοκαύτωμα ἢ θυσίαν
Lev 17:9	καὶ ἐπὶ τὴν θύραν τῆς σκηνῆς τοῦ μαρτυρίου μὴ ἐνέγκῃ ποιῆσαι αὐτὸ τῷ κυρίῳ, ἐξολεθρευθήσεται ὁ ἄνθρωπος ἐκεῖνος ἐκ τοῦ λαοῦ αὐτοῦ.
Lev 17:10	Καὶ ἄνθρωπος ἄνθρωπος τῶν υἱῶν Ἰσραὴλ ἢ τῶν προσηλύτων τῶν προσκειμένων ἐν ὑμῖν ὃς ἂν φάγῃ πᾶν αἷμα, καὶ ἐπιστήσω τὸ πρόσωπόν μου ἐπὶ τὴν ψυχὴν τὴν ἔσθουσαν τὸ αἷμα καὶ ἀπολῶ αὐτὴν ἐκ τοῦ λαοῦ αὐτῆς.
Lev 17:11	ἡ γὰρ ψυχὴ πάσης σαρκὸς αἷμα αὐτοῦ ἐστιν, καὶ ἐγὼ δέδωκα αὐτὸ ὑμῖν ἐπὶ τοῦ θυσιαστηρίου ἐξιλάσκεσθαι περὶ τῶν ψυχῶν ὑμῶν· τὸ γὰρ αἷμα αὐτοῦ ἀντὶ τῆς ψυχῆς ἐξιλάσεται.
Lev 17:12	διὰ τοῦτο εἴρηκα τοῖς υἱοῖς Ἰσραήλ Πᾶσα ψυχὴ ἐξ ὑμῶν οὐ φὰγεται αἷμα, καὶ ὁ προσήλυτος ὁ προσκείμενος ἐν ὑμῖν οὐ φάγεται αἷμα.
Lev 17:13	καὶ ἄνθρωπος ἄνθρωπος τῶν υἱῶν Ἰσραὴλ καὶ τῶν προσηλύτων τῶν προσκειμένων ἐν ὑμῖν ὃς ἂν θηρεύσῃ θήρευμα θηρίον ἢ πετεινὸν ὃ ἔσθεται, καὶ ἐκχεεῖ τὸ αἷμα καὶ καλύψει αὐτὸ τῇ γῇ·
Lev 17:14	ἡ γὰρ ψυχὴ πάσης σαρκὸς αἷμα αὐτοῦ ἐστιν, καὶ εἶπα τοῖς υἱοῖς Ἰσραήλ Αἷμα πάσης σαρκὸς οὐ φάγεσθε, ὅτι ἡ ψυχὴ πάσης σαρκὸς αἷμα αὐτοῦ ἐστίν· πᾶς ὁ ἔσθων αὐτὸ ἐξολεθρευθήσεται.
Lev 17:15	καὶ πᾶσα ψυχὴ ἥτις φάγεται θνησιμαῖον ἢ θηριάλωτον, ἐν τοῖς αὐτόχθοσιν ἢ ἐν τοῖς προσηλύτοις, πλυνεῖ τὰ ἱμάτια αὐτοῦ καὶ λούσεται ὕδατι, καὶ ἀκάθαρτος ἕως ἑσπέρας, καὶ καθαρὸς ἔσται.
Lev 17:16	ἐὰν δὲ μὴ πλύνῃ τὰ ἱμάτια καὶ τὸ σῶμα μὴ λούσηται ὕδατι, καὶ λήμψεται ἀνόμημα αὐτοῦ.
Lev 18:1	Καὶ εἶπεν Κύριος πρὸς Μωυσῆν λέγων
Lev 18:2	Λάλησον τοῖς υἱοῖς Ἰσραὴλ καὶ ἐρεῖς πρὸς αὐτούς Ἐγὼ Κύριος ὁ θεὸς ὑμῶν·
Lev 18:3	κατὰ τὰ ἐπιτηδεύματα γῆς Αἰγύπτου, ἐν ᾗ κατοικήσατε ἐπ᾽ αὐτῇ, οὐ ποιηθήσεται· καὶ κατὰ τὰ ἐπιτηδεύματα γῆς Χανάαν, εἰς ἣν ἐγὼ εἰσάγω ὑμᾶς ἐκεῖ, οὐ ποιήσετε, καὶ τοῖς νομίμοις αὐτῶν οὐ πορεύσεσθε.
Lev 18:4	τὰ κρίματά μου ποιήσετε καὶ τὰ προστάγματά μου φυλάξεσθε, πορεύεσθαι ἐν αὐτοῖς· ἐγὼ Κύριος ὁ θεὸς ὑμῶν.
Lev 18:5	καὶ φυλάξεσθε πάντα τὰ προστάγματά μου καὶ πάντα τὰ κρίματά μου, καὶ ποιήσετε αὐτά· ἃ ποιήσας ἄνθρωπος ζήσεται ἐν αὐτοῖς· ἐγὼ Κύριος ὁ θεὸς ὑμῶν.
Lev 18:6	Ἄνθρωπος ἄνθρωπος πρὸς πάντα οἰκεῖα σαρκὸς αὐτοῦ οὐ προσελεύσεται ἀποκαλύψαι ἀσχημοσύνην· ἐγὼ Κύριος.
Lev 18:7	ἀσχημοσύνην πατρός σου καὶ ἀσχημοσύνην μητρός σου οὐκ ἀποκαλύψεις· μήτηρ γάρ σού ἐστιν καὶ οὐκ ἀποκαλύψεις τὴν ἀσχημοσύνην αὐτῆς.
Lev 18:8	ἀσχημοσύνην γυναικὸς πατρός σου οὐκ ἀποκαλύψεις· ἀσχημοσύνη πατρός σού ἐστιν.
Lev 18:9	ἀσχημοσύνην τῆς ἀδελφῆς σου ἐκ πατρός σου ἢ μητρός σου, ἐνδογενοῦς γεγεννημένης ἢ ἔξω, οὐκ ἀποκαλύψεις ἀσχημοσύνην αὐτῆς.
Lev 18:10	ἀσχημοσύνην θυγατρὸς υἱοῦ σου ἢ θυγατρὸς θυγατρός σου, οὐκ ἀποκαλύψεις τὴν ἀσχημοσύνην αὐτῶν, ὅτι σὴ ἀσχημοσύνη ἐστίν.
Lev 18:11	ἀσχημοσύνην θυγατρὸς γυναικὸς πατρός σου οὐκ ἀποκαλύψεις· ὁμοπατρία ἀδελφή σού ἐστιν, οὐκ ἀποκαλύψεις τὴν ἀσχημοσύνην αὐτῆς.
Lev 18:12	ἀσχημοσύνην ἀδελφῆς πατρός σου οὐκ ἀποκαλύψεις· οἰκεία γὰρ πατρός σού ἐστιν.
Lev 18:13	ἀσχημοσύνην ἀδελφῆς μητρός σου οὐκ ἀποκαλύψεις· οἰκεία γὰρ μητρός σού ἐστιν.
