# NIV84 1 Chronicles — converted from PDF (AGES Digital Library transcription of the New International Version, 1984 edition); source PDF pages 926-1002
1:1	Adam, Seth, Enosh,
6:33	then hear from heaven, your dwelling-place, and do whatever the foreigner asks of you, so that all the peoples of the earth may know your name and fear you, as do your own people Israel, and may know that this house that I have built bears your Name.
6:34	“When your people go to war against their enemies, wherever you send them, and when they pray to you towards this city you have chosen and the temple I have built for your Name,
6:35	then hear from heaven their prayer and their plea, and uphold their cause.
6:36	“When they sin against you — for there is no-one who does not sin — and you become angry with them and give them over to the enemy, who takes them captive to a land far away or near;
6:37	and if they have a change of heart in the land where they are held captive, and repent and plead with you in the land of their captivity and say, `We have sinned, we have done wrong and acted wickedly’;
6:38	and if they turn back to you with all their heart and soul in the land of their captivity where they were taken, and pray towards the land that you gave their fathers, towards the city you have chosen and towards the temple that I have built for your Name;
6:39	then from heaven, your dwelling-place, hear their prayer and their pleas, and uphold their cause. And forgive your people, who have sinned against you.
6:40	“Now, my God, may your eyes be open and your ears attentive to the prayers offered in this place.
6:41	“Now arise, O LORD God, and come to your resting place, you and the ark of your might. May your priests, O LORD God, be clothed with salvation, may your saints rejoice in your goodness.
6:42	LORD God, do not reject your anointed one. Remember the great love promised to David your servant.”
7:1	When Solomon finished praying, fire came down from heaven and consumed the burnt offering and the sacrifices, and the glory of the LORD filled the temple.
7:2	The priests could not enter the temple of the LORD because the glory of the LORD filled it.
7:3	When all the Israelites saw the fire coming down and the glory of the LORD above the temple, they knelt on the pavement with their faces to the ground, and they worshipped and gave thanks to the LORD, saying, “He is good; his love endures for ever.”
7:4	Then the king and all the people offered sacrifices before the LORD.
7:5	And King Solomon offered a sacrifice of twenty-two thousand head of cattle and a hundred and twenty thousand sheep and goats. So the king and all the people dedicated the temple of God.
7:6	The priests took their positions, as did the Levites with the LORD’s musical instruments, which King David had made for praising the LORD and which were used when he gave thanks, saying, “His love endures for ever.” Opposite the Levites, the priests blew their trumpets, and all the Israelites were standing.
7:7	Solomon consecrated the middle part of the courtyard in front of the temple of the LORD, and there he offered burnt offerings and the fat of the fellowship offerings, [Traditionally peace offerings] because the bronze altar he had made could not hold the burnt offerings, the grain offerings and the fat portions.
7:8	So Solomon observed the festival at that time for seven days, and all Israel with him — a vast assembly, people from Lebo [Or from the entrance to] Hamath to the Wadi of Egypt.
7:9	On the eighth day they held an assembly, for they had celebrated the dedication of the altar for seven days and the festival for seven days more.
7:10	On the twenty-third day of the seventh month he sent the people to their homes, joyful and glad in heart for the good things the LORD had done for David and Solomon and for his people Israel.
7:11	When Solomon had finished the temple of the LORD and the royal palace, and had succeeded in carrying out all he had in mind to do in the temple of the LORD and in his own palace,
7:12	the LORD appeared to him at night and said: “I have heard your prayer and have chosen this place for myself as a temple for sacrifices.
7:13	“When I shut up the heavens so that there is no rain, or command locusts to devour the land or send a plague among my people,
7:14	if my people, who are called by my name, will humble themselves and pray and seek my face and turn from their wicked ways, then will I hear from heaven and will forgive their sin and will heal their land.
7:15	Now my eyes will be open and my ears attentive to the prayers offered in this place.
7:16	I have chosen and consecrated this temple so that my Name may be there for ever. My eyes and my heart will always be there.
7:17	“As for you, if you walk before me as David your father did, and do all I command, and observe my decrees and laws,
7:18	I will establish your royal throne, as I covenanted with David your father when I said, `You shall never fail to have a man to rule over Israel.’
7:19	“But if you [The Hebrew is plural.] turn away and forsake the decrees and commands I have given you [The Hebrew is plural.] and go off to serve other gods and worship them,
7:20	then I will uproot Israel from my land, which I have given them, and will reject this temple which I have consecrated for my Name. I will make it a byword and an object of ridicule among all peoples.
7:21	And though this temple is now so imposing, all who pass by will be appalled and say, `Why has the LORD done such a thing to this land and to this temple?’
7:22	People will answer, `Because they have forsaken the LORD, the God of their fathers, who brought them out of Egypt, and have embraced other gods, worshipping and serving them — that is why he brought all this disaster on them.’“
8:1	At the end of twenty years, during which Solomon built the temple of the LORD and his own palace,
8:2	Solomon rebuilt the villages that Hiram [Hebrew Huram, a variant of Hiram; also in verse 18] had given him, and settled Israelites in them.
8:3	Solomon then went to Hamath Zobah and captured it.
8:4	He also built up Tadmor in the desert and all the store cities he had built in Hamath.
8:5	He rebuilt Upper Beth Horon and Lower Beth Horon as fortified cities, with walls and with gates and bars,
8:6	as well as Baalath and all his store cities, and all the cities for his chariots and for his horses — [Or charioteers] whatever he desired to build in Jerusalem, in Lebanon and throughout all the territory that he ruled.
8:7	All the people left from the Hittites, Amorites, Perizzites, Hivites and Jebusites (these peoples were not Israelites),
8:8	that is, their descendants remaining in the land, whom the Israelites had not destroyed — these Solomon conscripted for his slave labour force, as it is to this day.
8:9	But Solomon did not make slaves of the Israelites for his work; they were his fighting men, commanders of his captains, and commanders of his chariots and charioteers.
8:10	They were also King Solomon’s chief officials — two hundred and fifty officials supervising the men.
8:11	Solomon brought Pharaoh’s daughter up from the City of David to the palace he had built for her, for he said, “My wife must not live in the palace of David king of Israel, because the places the ark of the LORD has entered are holy.”
8:12	On the altar of the LORD that he had built in front of the portico, Solomon sacrificed burnt offerings to the LORD,
8:13	according to the daily requirement for offerings commanded by Moses for Sabbaths, New Moons and the three annual feasts — the Feast of Unleavened Bread, the Feast of Weeks and the Feast of Tabernacles.
8:14	In keeping with the ordinance of his father David, he appointed the divisions of the priests for their duties and the Levites to lead the praise and to assist the priests according to each day’s requirement. He also appointed the gatekeepers by divisions for the various gates, because this was what David the man of God had ordered.
8:15	They did not deviate from the king’s commands to the priests or to the Levites in any matter, including that of the treasuries.
8:16	All Solomon’s work was carried out, from the day the foundation of the temple of the LORD was laid until its completion. So the temple of the LORD was finished.
8:17	Then Solomon went to Ezion Geber and Elath on the coast of Edom.
8:18	And Hiram sent him ships commanded by his own officers, men who knew the sea. These, with Solomon’s men, sailed to Ophir and brought back four hundred and fifty talents [That is, about 17 tons (about 16 metric tons)] of gold, which they delivered to King Solomon.
9:1	When the queen of Sheba heard of Solomon’s fame, she came to Jerusalem to test him with hard questions. Arriving with a very great caravan — with camels carrying spices, large quantities of gold, and precious stones — she came to Solomon and talked with him about all she had on her mind.
9:2	Solomon answered all her questions; nothing was too hard for him to explain to her.
9:3	When the queen of Sheba saw the wisdom of Solomon, as well as the palace he had built,
9:4	the food on his table, the seating of his officials, the attending servants in their robes, the cupbearers in their robes and the burnt offerings he made at [Or the ascent by which he went up to] the temple of the LORD, she was overwhelmed.
9:5	She said to the king, “The report I heard in my own country about your achievements and your wisdom is true.
9:6	But I did not believe what they said until I came and saw with my own eyes. Indeed, not even half the greatness of your wisdom was told me; you have far exceeded the report I heard.
9:7	How happy your men must be! How happy your officials, who continually stand before you and hear your wisdom!
9:8	Praise be to the LORD your God, who has delighted in you and placed you on his throne as king to rule for the LORD your God. Because of the love of your God for Israel and his desire to uphold them for ever, he has made you king over them, to maintain justice and righteousness.”
9:9	Then she gave the king 120 talents [That is, about 4 tons (about 4 metric tons)] of gold, large quantities of spices, and precious stones. There had never been such spices as those the queen of Sheba gave to King Solomon.
9:10	(The men of Hiram and the men of Solomon brought gold from Ophir; they also brought algum-wood [Probably a variant of almug-wood] and precious stones.
9:11	The king used the algum-wood to make steps for the temple of the LORD and for the royal palace, and to make harps and lyres for the musicians. Nothing like them had ever been seen in Judah.)
9:12	King Solomon gave the queen of Sheba all she desired and asked for; he gave her more than she had brought to him. Then she left and returned with her retinue to her own country.
9:13	The weight of the gold that Solomon received yearly was 666 talents, [That is, about 23 tons (about 23 metric tons)]
9:14	not including the revenues brought in by merchants and traders. Also all the kings of Arabia and the governors of the land brought gold and silver to Solomon.
9:15	King Solomon made two hundred large shields of hammered gold; six hundred bekas [That is, about 7 1/2 pounds (about 3.5 kilograms)] of hammered gold went into each shield.
9:16	He also made three hundred small shields of hammered gold, with three hundred bekas [That is, about 3 3/4 pounds (about 1.7 kilograms)] of gold in each shield. The king put them in the Palace of the Forest of Lebanon.
9:17	Then the king made a great throne inlaid with ivory and overlaid with pure gold.
9:18	The throne had six steps, and a footstool of gold was attached to it. On both sides of the seat were armrests, with a lion standing beside each of them.
9:19	Twelve lions stood on the six steps, one at either end of each step. Nothing like it had ever been made for any other kingdom.
9:20	All King Solomon’s goblets were gold, and all the household articles in the Palace of the Forest of Lebanon were pure gold. Nothing was made of silver, because silver was considered of little value in Solomon’s day.
9:21	The king had a fleet of trading ships [Hebrew of ships that could go to Tarshish] manned by Hiram’s [Hebrew Huram, a variant of Hiram] men. Once every three years it returned, carrying gold, silver and ivory, and apes and baboons.
9:22	King Solomon was greater in riches and wisdom than all the other kings of the earth.
9:23	All the kings of the earth sought audience with Solomon to hear the wisdom God had put in his heart.
9:24	Year after year, everyone who came brought a gift — articles of silver and gold, and robes, weapons and spices, and horses and mules.
9:25	Solomon had four thousand stalls for horses and chariots, and twelve thousand horses, [Or charioteers] which he kept in the chariot cities and also with him in Jerusalem.
9:26	He ruled over all the kings from the River [That is, the Euphrates] to the land of the Philistines, as far as the border of Egypt.
9:27	The king made silver as common in Jerusalem as stones, and cedar as plentiful as sycamore-fig trees in the foothills.
9:28	Solomon’s horses were imported from Egypt [Or possibly Muzur, a region in Cilicia] and from all other countries.
9:29	As for the other events of Solomon’s reign, from beginning to end, are they not written in the records of Nathan the prophet, in the prophecy of Ahijah the Shilonite and in the visions of Iddo the seer concerning Jeroboam son of Nebat?
9:30	Solomon reigned in Jerusalem over all Israel for forty years.
9:31	Then he rested with his fathers and was buried in the city of David his father. And Rehoboam his son succeeded him as king.
10:1	Rehoboam went to Shechem, for all the Israelites had gone there to make him king.
10:2	When Jeroboam son of Nebat heard this (he was in Egypt, where he had fled from King Solomon), he returned from Egypt.
10:3	So they sent for Jeroboam, and he and all Israel went to Rehoboam and said to him:
10:4	“Your father put a heavy yoke on us, but now lighten the harsh labour and the heavy yoke he put on us, and we will serve you.”
10:5	Rehoboam answered, “Come back to me in three days.” So the people went away.
10:6	Then King Rehoboam consulted the elders who had served his father Solomon during his lifetime. “How would you advise me to answer these people?” he asked.
10:7	They replied, “If you will be kind to these people and please them and give them a favourable answer, they will always be your servants.”
10:8	But Rehoboam rejected the advice the elders gave him and consulted the young men who had grown up with him and were serving him.
10:9	He asked them, “What is your advice? How should we answer these people who say to me, `Lighten the yoke your father put on us’?”
10:10	The young men who had grown up with him replied, “Tell the people who have said to you, `Your father put a heavy yoke on us, but make our yoke lighter’ — tell them, `My little finger is thicker than my father’s waist.
10:11	My father laid on you a heavy yoke; I will make it even heavier. My father scourged you with whips; I will scourge you with scorpions.’“
10:12	Three days later Jeroboam and all the people returned to Rehoboam, as the king had said, “Come back to me in three days.”
10:13	The king answered them harshly. Rejecting the advice of the elders,
10:14	he followed the advice of the young men and said, “My father made your yoke heavy; I will make it even heavier. My father scourged you with whips; I will scourge you with scorpions.”
10:15	So the king did not listen to the people, for this turn of events was from God, to fulfil the word that the LORD had spoken to Jeroboam son of Nebat through Ahijah the Shilonite.
10:16	When all Israel saw that the king refused to listen to them, they answered the king: “What share do we have in David, what part in Jesse’s son? To your tents, O Israel! Look after your own house, O David!” So all the Israelites went home.
10:17	But as for the Israelites who were living in the towns of Judah, Rehoboam still ruled over them.
10:18	King Rehoboam sent out Adoniram, [Hebrew Hadoram, a variant of Adoniram] who was in charge of forced labour, but the Israelites stoned him to death. King Rehoboam, however, managed to get into his chariot and escape to Jerusalem.
10:19	So Israel has been in rebellion against the house of David to this day.
11:1	When Rehoboam arrived in Jerusalem, he mustered the house of Judah and Benjamin — a hundred and eighty thousand fighting men — to make war against Israel and to regain the kingdom for Rehoboam.
11:2	But this word of the LORD came to Shemaiah the man of God:
11:3	“Say to Rehoboam son of Solomon king of Judah and to all the Israelites in Judah and Benjamin,
11:4	`This is what the LORD says: Do not go up to fight against your brothers. Go home, every one of you, for this is my doing.’“ So they obeyed the words of the LORD and turned back from marching against Jeroboam.
11:5	Rehoboam lived in Jerusalem and built up towns for defence in Judah:
11:6	Bethlehem, Etam, Tekoa,
11:7	Beth Zur, Soco, Adullam,
11:8	Gath, Mareshah, Ziph,
11:9	Adoraim, Lachish, Azekah,
11:10	Zorah, Aijalon and Hebron. These were fortified cities in Judah and Benjamin.
11:11	He strengthened their defences and put commanders in them, with supplies of food, olive oil and wine.
11:12	He put shields and spears in all the cities, and made them very strong. So Judah and Benjamin were his.
11:13	The priests and Levites from all their districts throughout Israel sided with him.
11:14	The Levites even abandoned their pasture-lands and property, and came to Judah and Jerusalem because Jeroboam and his sons had rejected them as priests of the LORD.
11:15	And he appointed his own priests for the high places and for the goat and calf idols he had made.
11:16	Those from every tribe of Israel who set their hearts on seeking the LORD, the God of Israel, followed the Levites to Jerusalem to offer sacrifices to the LORD, the God of their fathers.
11:17	They strengthened the kingdom of Judah and supported Rehoboam son of Solomon for three years, walking in the ways of David and Solomon during this time.
11:18	Rehoboam married Mahalath, who was the daughter of David’s son Jerimoth and of Abihail, the daughter of Jesse’s son Eliab.
11:19	She bore him sons: Jeush, Shemariah and Zaham.
11:20	Then he married Maacah daughter of Absalom, who bore him Abijah, Attai, Ziza and Shelomith.
11:21	Rehoboam loved Maacah daughter of Absalom more than any of his other wives and concubines. In all he had eighteen wives and sixty concubines, twenty-eight sons and sixty daughters.
11:22	Rehoboam appointed Abijah son of Maacah to be the chief prince among his brothers, in order to make him king.
11:23	He acted wisely, dispersing some of his sons throughout the districts of Judah and Benjamin, and to all the fortified cities. He gave them abundant provisions and took many wives for them.
12:1	After Rehoboam’s position as king was established and he had become strong, he and all Israel [That is, Judah, as frequently in 2 Chronicles] with him abandoned the law of the LORD.
12:2	Because they had been unfaithful to the LORD, Shishak king of Egypt attacked Jerusalem in the fifth year of King Rehoboam.
12:3	With twelve hundred chariots and sixty thousand horsemen and the innumerable troops of Libyans, Sukkites and Cushites [That is, people from the upper Nile region] that came with him from Egypt,
12:4	he captured the fortified cities of Judah and came as far as Jerusalem.
12:5	Then the prophet Shemaiah came to Rehoboam and to the leaders of Judah who had assembled in Jerusalem for fear of Shishak, and he said to them, “This is what the LORD says: `You have abandoned me; therefore I now abandon you to Shishak.’“
12:6	The leaders of Israel and the king humbled themselves and said, “The LORD is just.”
12:7	When the LORD saw that they humbled themselves, this word of the LORD came to Shemaiah: “Since they have humbled themselves, I will not destroy them but will soon give them deliverance. My wrath will not be poured out on Jerusalem through Shishak.
12:8	They will, however, become subject to him, so that they may learn the difference between serving me and serving the kings of other lands.”
12:9	When Shishak king of Egypt attacked Jerusalem, he carried off the treasures of the temple of the LORD and the treasures of the royal palace. He took everything, including the gold shields that Solomon had made.
12:10	So King Rehoboam made bronze shields to replace them and assigned these to the commanders of the guard on duty at the entrance to the royal palace.
12:11	Whenever the king went to the LORD’s temple, the guards went with him, bearing the shields, and afterwards they returned them to the guardroom.
12:12	Because Rehoboam humbled himself, the LORD’s anger turned from him, and he was not totally destroyed. Indeed, there was some good in Judah.
12:13	King Rehoboam established himself firmly in Jerusalem and continued as king. He was forty-one years old when he became king, and he reigned for seventeen years in Jerusalem, the city the LORD had chosen out of all the tribes of Israel in which to put his Name. His mother’s name was Naamah; she was an Ammonite.
12:14	He did evil because he had not set his heart on seeking the LORD.
12:15	As for the events of Rehoboam’s reign, from beginning to end, are they not written in the records of Shemaiah the prophet and of Iddo the seer that deal with genealogies? There was continual warfare between Rehoboam and Jeroboam.
12:16	Rehoboam rested with his fathers and was buried in the City of David. And Abijah his son succeeded him as king.
13:1	In the eighteenth year of the reign of Jeroboam, Abijah became king of Judah,
13:2	and he reigned in Jerusalem for three years. His mother’s name was Maacah, [Most Septuagint manuscripts and Syriac (see also 2 Chron. 11:20 and 1 Kings 15:2); Hebrew Micaiah] a daughter [Or granddaughter] of Uriel of Gibeah. There was war between Abijah and Jeroboam.
13:3	Abijah went into battle with a force of four hundred thousand able fighting men, and Jeroboam drew up a battle line against him with eight hundred thousand able troops.
13:4	Abijah stood on Mount Zemaraim, in the hill country of Ephraim, and said, “Jeroboam and all Israel, listen to me!
13:5	Don’t you know that the LORD, the God of Israel, has given the kingship of Israel to David and his descendants for ever by a covenant of salt?
13:6	Yet Jeroboam son of Nebat, an official of Solomon son of David, rebelled against his master.
13:7	Some worthless scoundrels gathered around him and opposed Rehoboam son of Solomon when he was young and indecisive and not strong enough to resist them.
13:8	“And now you plan to resist the kingdom of the LORD, which is in the hands of David’s descendants. You are indeed a vast army and have with you the golden calves that Jeroboam made to be your gods.
13:9	But didn’t you drive out the priests of the LORD, the sons of Aaron, and the Levites, and make priests of your own as the peoples of other lands do? Whoever comes to consecrate himself with a young bull and seven rams may become a priest of what are not gods.
13:10	“As for us, the LORD is our God, and we have not forsaken him. The priests who serve the LORD are sons of Aaron, and the Levites assist them.
13:11	Every morning and evening they present burnt offerings and fragrant incense to the LORD. They set out the bread on the ceremonially clean table and light the lamps on the gold lampstand every evening. We are observing the requirements of the LORD our God. But you have forsaken him.
13:12	God is with us; he is our leader. His priests with their trumpets will sound the battle cry against you. Men of Israel, do not fight against the LORD, the God of your fathers, for you will not succeed.”
13:13	Now Jeroboam had sent troops round to the rear, so that while he was in front of Judah the ambush was behind them.
13:14	Judah turned and saw that they were being attacked at both front and rear. Then they cried out to the LORD. The priests blew their trumpets
13:15	and the men of Judah raised the battle cry. At the sound of their battle cry, God routed Jeroboam and all Israel before Abijah and Judah.
13:16	The Israelites fled before Judah, and God delivered them into their hands.
13:17	Abijah and his men inflicted heavy losses on them, so that there were five hundred thousand casualties among Israel’s able men.
13:18	The men of Israel were subdued on that occasion, and the men of Judah were victorious because they relied on the LORD, the God of their fathers.
13:19	Abijah pursued Jeroboam and took from him the towns of Bethel, Jeshanah and Ephron, with their surrounding villages.
13:20	Jeroboam did not regain power during the time of Abijah. And the LORD struck him down and he died.
13:21	But Abijah grew in strength. He married fourteen wives and had twenty-two sons and sixteen daughters.
13:22	The other events of Abijah’s reign, what he did and what he said, are written in the annotations of the prophet Iddo.
14:1	And Abijah rested with his fathers and was buried in the City of David. Asa his son succeeded him as king, and in his days the country was at peace for ten years.
14:2	Asa did what was good and right in the eyes of the LORD his God.
14:3	He removed the foreign altars and the high places, smashed the sacred stones and cut down the Asherah poles. [That is, symbols of the goddess Asherah; here and elsewhere in 2 Chronicles]
14:4	He commanded Judah to seek the LORD, the God of their fathers, and to obey his laws and commands.
14:5	He removed the high places and incense altars in every town in Judah, and the kingdom was at peace under him.
14:6	He built up the fortified cities of Judah, since the land was at peace. No-one was at war with him during those years, for the LORD gave him rest.
14:7	“Let us build up these towns,” he said to Judah, “and put walls round them, with towers, gates and bars. The land is still ours, because we have sought the LORD our God; we sought him and he has given us rest on every side.” So they built and prospered.
14:8	Asa had an army of three hundred thousand men from Judah, equipped with large shields and with spears, and two hundred and eighty thousand from Benjamin, armed with small shields and with bows. All these were brave fighting men.
14:9	Zerah the Cushite marched out against them with a vast army [Hebrew with an army of a thousand thousands or with an army of thousands upon thousands] and three hundred chariots, and came as far as Mareshah.
14:10	Asa went out to meet him, and they took up battle positions in the Valley of Zephathah near Mareshah.
14:11	Then Asa called to the LORD his God and said, “LORD, there is no-one like you to help the powerless against the mighty. Help us, O LORD our God, for we rely on you, and in your name we have come against this vast army. O LORD, you are our God; do not let man prevail against you.”
14:12	The LORD struck down the Cushites before Asa and Judah. The Cushites fled,
14:13	and Asa and his army pursued them as far as Gerar. Such a great number of Cushites fell that they could not recover; they were crushed before the LORD and his forces. The men of Judah carried off a large amount of plunder.
14:14	They destroyed all the villages around Gerar, for the terror of the LORD had fallen upon them. They plundered all these villages, since there was much booty there.
14:15	They also attacked the camps of the herdsmen and carried off droves of sheep and goats and camels. Then they returned to Jerusalem.
15:1	The Spirit of God came upon Azariah son of Oded.
15:2	He went out to meet Asa and said to him, “Listen to me, Asa and all Judah and Benjamin. The LORD is with you when you are with him. If you seek him, he will be found by you, but if you forsake him, he will forsake you.
15:3	For a long time Israel was without the true God, without a priest to teach and without the law.
15:4	But in their distress they turned to the LORD, the God of Israel, and sought him, and he was found by them.
15:5	In those days it was not safe to travel about, for all the inhabitants of the lands were in great turmoil.
15:6	One nation was being crushed by another and one city by another, because God was troubling them with every kind of distress.
15:7	But as for you, be strong and do not give up, for your work will be rewarded.”
15:8	When Asa heard these words and the prophecy of Azariah son of [Vulgate and Syriac (see also Septuagint and verse 1); Hebrew does not have Azariah son of.] Oded the prophet, he took courage. He removed the detestable idols from the whole land of Judah and Benjamin and from the towns he had captured in the hills of Ephraim. He repaired the altar of the LORD that was in front of the portico of the LORD’s temple.
15:9	Then he assembled all Judah and Benjamin and the people from Ephraim, Manasseh and Simeon who had settled among them, for large numbers had come over to him from Israel when they saw that the LORD his God was with him.
15:10	They assembled at Jerusalem in the third month of the fifteenth year of Asa’s reign.
15:11	At that time they sacrificed to the LORD seven hundred head of cattle and seven thousand sheep and goats from the plunder they had brought back.
15:12	They entered into a covenant to seek the LORD, the God of their fathers, with all their heart and soul.
15:13	All who would not seek the LORD, the God of Israel, were to be put to death, whether small or great, man or woman.
15:14	They took an oath to the LORD with loud acclamation, with shouting and with trumpets and horns.
15:15	All Judah rejoiced about the oath because they had sworn it wholeheartedly. They sought God eagerly, and he was found by them. So the LORD gave them rest on every side.
15:16	King Asa also deposed his grandmother Maacah from her position as queen mother, because she had made a repulsive Asherah pole. Asa cut the pole down, broke it up and burned it in the Kidron Valley.
15:17	Although he did not remove the high places from Israel, Asa’s heart was fully committed to the LORD all his life.
15:18	He brought into the temple of God the silver and gold and the articles that he and his father had dedicated.
15:19	There was no more war until the thirty-fifth year of Asa’s reign.
16:1	In the thirty-sixth year of Asa’s reign Baasha king of Israel went up against Judah and fortified Ramah to prevent anyone from leaving or entering the territory of Asa king of Judah.
16:2	Asa then took the silver and gold out of the treasuries of the LORD’s temple and of his own palace and sent it to Ben-Hadad king of Aram, who was ruling in Damascus.
16:3	“Let there be a treaty between me and you,” he said, “as there was between my father and your father. See, I am sending you silver and gold. Now break your treaty with Baasha king of Israel so that he will withdraw from me.”
16:4	Ben-Hadad agreed with King Asa and sent the commanders of his forces against the towns of Israel. They conquered Ijon, Dan, Abel Maim [Also known as Abel Beth Maacah] and all the store cities of Naphtali.
16:5	When Baasha heard this, he stopped building Ramah and abandoned his work.
16:6	Then King Asa brought all the men of Judah, and they carried away from Ramah the stones and timber Baasha had been using. With them he built up Geba and Mizpah.
16:7	At that time Hanani the seer came to Asa king of Judah and said to him: “Because you relied on the king of Aram and not on the LORD your God, the army of the king of Aram has escaped from your hand.
16:8	Were not the Cushites [That is, people from the upper Nile region] and Libyans a mighty army with great numbers of chariots and horsemen? [Or charioteers] Yet when you relied on the LORD, he delivered them into your hand.
16:9	For the eyes of the LORD range throughout the earth to strengthen those whose hearts are fully committed to him. You have done a foolish thing, and from now on you will be at war.”
16:10	Asa was angry with the seer because of this; he was so enraged that he put him in prison. At the same time Asa brutally oppressed some of the people.
16:11	The events of Asa’s reign, from beginning to end, are written in the book of the kings of Judah and Israel.
16:12	In the thirty-ninth year of his reign Asa was afflicted with a disease in his feet. Though his disease was severe, even in his illness he did not seek help from the LORD, but only from the physicians.
16:13	Then in the forty-first year of his reign Asa died and rested with his fathers.
16:14	They buried him in the tomb that he had cut out for himself in the City of David. They laid him on a bier covered with spices and various blended perfumes, and they made a huge fire in his honour.
17:1	Jehoshaphat his son succeeded him as king and strengthened himself against Israel.
17:2	He stationed troops in all the fortified cities of Judah and put garrisons in Judah and in the towns of Ephraim that his father Asa had captured.
17:3	The LORD was with Jehoshaphat because in his early years he walked in the ways that his father David had followed. He did not consult the Baals
17:4	but sought the God of his father and followed his commands rather than the practices of Israel.
17:5	The LORD established the kingdom under his control; and all Judah brought gifts to Jehoshaphat, so that he had great wealth and honour.
17:6	His heart was devoted to the ways of the LORD; furthermore, he removed the high places and the Asherah poles from Judah.
17:7	In the third year of his reign he sent his officials Ben-Hail, Obadiah, Zechariah, Nethanel and Micaiah to teach in the towns of Judah.
17:8	With them were certain Levites — Shemaiah, Nethaniah, Zebadiah, Asahel, Shemiramoth, Jehonathan, Adonijah, Tobijah and Tob-Adonijah — and the priests Elishama and Jehoram.
17:9	They taught throughout Judah, taking with them the Book of the Law of the LORD; they went round to all the towns of Judah and taught the people.
17:10	The fear of the LORD fell on all the kingdoms of the lands surrounding Judah, so that they did not make war with Jehoshaphat.
17:11	Some Philistines brought Jehoshaphat gifts and silver as tribute, and the Arabs brought him flocks: seven thousand seven hundred rams and seven thousand seven hundred goats.
17:12	Jehoshaphat became more and more powerful; he built forts and store cities in Judah
17:13	and had large supplies in the towns of Judah. He also kept experienced fighting men in Jerusalem.
17:14	Their enrolment by families was as follows: From Judah, commanders of units of 1,000: Adnah the commander, with 300,000 fighting men;
17:15	next, Jehohanan the commander, with 280,000;
17:16	next, Amasiah son of Zicri, who volunteered himself for the service of the LORD, with 200,000.
17:17	From Benjamin: Eliada, a valiant soldier, with 200,000 men armed with bows and shields;
17:18	next, Jehozabad, with 180,000 men armed for battle.
17:19	These were the men who served the king, besides those he stationed in the fortified cities throughout Judah.
18:1	Now Jehoshaphat had great wealth and honour, and he allied himself with Ahab by marriage.
18:2	Some years later he went down to visit Ahab in Samaria. Ahab slaughtered many sheep and cattle for him and the people with him and urged him to attack Ramoth Gilead.
18:3	Ahab king of Israel asked Jehoshaphat king of Judah, “Will you go with me against Ramoth Gilead?” Jehoshaphat replied, “I am as you are, and my people as your people; we will join you in the war.”
18:4	But Jehoshaphat also said to the king of Israel, “First seek the counsel of the LORD.”
18:5	So the king of Israel brought together the prophets — four hundred men — and asked them, “Shall we go to war against Ramoth Gilead, or shall I refrain?” “Go,” they answered, “for God will give it into the king’s hand.”
18:6	But Jehoshaphat asked, “Is there not a prophet of the LORD here whom we can enquire of?”
18:7	The king of Israel answered Jehoshaphat, “There is still one man through whom we can enquire of the LORD, but I hate him because he never prophesies anything good about me, but always bad. He is Micaiah son of Imlah.” “The king should not say that,” Jehoshaphat replied.
18:8	So the king of Israel called one of his officials and said, “Bring Micaiah son of Imlah at once.”
18:9	Dressed in their royal robes, the king of Israel and Jehoshaphat king of Judah were sitting on their thrones at the threshing-floor by the entrance to the gate of Samaria, with all the prophets prophesying before them.
18:10	Now Zedekiah son of Kenaanah had made iron horns, and he declared, “This is what the LORD says: `With these you will gore the Arameans until they are destroyed.’“
18:11	All the other prophets were prophesying the same thing. “Attack Ramoth Gilead and be victorious,” they said, “for the LORD will give it into the king’s hand.”
18:12	The messenger who had gone to summon Micaiah said to him, “Look, as one man the other prophets are predicting success for the king. Let your word agree with theirs, and speak favourably.”
18:13	But Micaiah said, “As surely as the LORD lives, I can tell him only what my God says.”
18:14	When he arrived, the king asked him, “Micaiah, shall we go to war against Ramoth Gilead, or shall I refrain?” “Attack and be victorious,” he answered, “for they will be given into your hand.”
18:15	The king said to him, “How many times must I make you swear to tell me nothing but the truth in the name of the LORD?”
18:16	Then Micaiah answered, “I saw all Israel scattered on the hills like sheep without a shepherd, and the LORD said, `These people have no master. Let each one go home in peace.’“
18:17	The king of Israel said to Jehoshaphat, “Didn’t I tell you that he never prophesies anything good about me, but only bad?”
18:18	Micaiah continued, “Therefore hear the word of the LORD: I saw the LORD sitting on his throne with all the host of heaven standing on his right and on his left.
18:19	And the LORD said, `Who will entice Ahab king of Israel into attacking Ramoth Gilead and going to his death there?’ “One suggested this, and another that.
18:20	Finally, a spirit came forward, stood before the LORD and said, `I will entice him.’ “`By what means?’ the LORD asked.
18:21	“`I will go and be a lying spirit in the mouths of all his prophets,’ he said. “`You will succeed in enticing him,’ said the LORD. `Go and do it.’
18:22	“So now the LORD has put a lying spirit in the mouths of these prophets of yours. The LORD has decreed disaster for you.”
18:23	Then Zedekiah son of Kenaanah went up and slapped Micaiah in the face. “Which way did the spirit from [Or Spirit of] the LORD go when he went from me to speak to you?” he asked.
18:24	Micaiah replied, “You will find out on the day you go to hide in an inner room.”
